ID_Cliente,Data_Aquisicao,Canal_Aquisicao,Campanha_Aquisicao,Segmento,Regiao,Total_Pedidos,LTV,Status,Cohort
71,2023-01-01,TikTok Ads,Performance_Shopping,SMB,DF,2,611.07,churned,2023-01
72,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,DF,7,2440.25,active,2023-01
73,2023-01-01,TikTok Ads,Performance_Shopping,Enterprise,SP,5,6324.86,active,2023-01
74,2023-01-01,TikTok Ads,Performance_Shopping,Mid-Market,PE,4,1271.26,active,2023-01
75,2023-01-01,TikTok Ads,Performance_Shopping,SMB,RJ,8,1452.49,active,2023-01
76,2023-01-01,TikTok Ads,Performance_Shopping,SMB,RS,7,1365.35,active,2023-01
77,2023-01-01,TikTok Ads,Remarketing_Display,SMB,MG,7,1232.7,churned,2023-01
78,2023-01-01,TikTok Ads,Remarketing_Display,SMB,SP,8,1706.75,active,2023-01
79,2023-01-01,TikTok Ads,Remarketing_Display,Enterprise,BA,6,5650.84,active,2023-01
80,2023-01-01,TikTok Ads,Remarketing_Display,SMB,PE,8,1185.02,active,2023-01
81,2023-01-02,Google Ads,Display_Generico,SMB,SP,3,444.31,churned,2023-01
82,2023-01-02,Google Ads,Display_Generico,SMB,SP,3,781.37,active,2023-01
83,2023-01-02,Google Ads,Lead_Generation,Mid-Market,PE,3,1766.74,churned,2023-01
84,2023-01-02,Google Ads,Lead_Generation,SMB,CE,4,790.48,active,2023-01
85,2023-01-02,Google Ads,Performance_Search,Mid-Market,MG,8,3805.81,active,2023-01
86,2023-01-02,Google Ads,Performance_Search,SMB,RJ,3,846.13,active,2023-01
87,2023-01-02,Google Ads,Performance_Search,Mid-Market,RS,6,2575.91,active,2023-01
88,2023-01-02,Google Ads,Performance_Search,Mid-Market,DF,6,1847.45,active,2023-01
89,2023-01-02,Google Ads,Performance_Shopping,Mid-Market,ES,1,665.16,active,2023-01
90,2023-01-02,Google Ads,Performance_Shopping,Enterprise,RJ,11,11013.16,active,2023-01
91,2023-01-02,Google Ads,Performance_Shopping,Mid-Market,GO,6,3445.7,active,2023-01
92,2023-01-02,Google Ads,Performance_Shopping,SMB,BA,1,341.93,active,2023-01
93,2023-01-02,Google Ads,Performance_Shopping,SMB,SP,9,2020.27,churned,2023-01
94,2023-01-02,Google Ads,Performance_Shopping,SMB,SP,4,851.97,churned,2023-01
95,2023-01-02,Google Ads,Performance_Shopping,Enterprise,MG,5,5124.54,active,2023-01
96,2023-01-02,Google Ads,Performance_Shopping,Mid-Market,PR,5,2556.49,active,2023-01
97,2023-01-02,Google Ads,Performance_Shopping,SMB,SP,8,1827.4,active,2023-01
98,2023-01-02,Google Ads,Performance_Shopping,SMB,MG,10,2412.39,active,2023-01
99,2023-01-02,Google Ads,Remarketing_Display,SMB,RJ,4,609.14,churned,2023-01
100,2023-01-02,Google Ads,Remarketing_Display,SMB,BA,5,825.25,churned,2023-01
101,2023-01-02,Google Ads,Remarketing_Display,SMB,SP,6,1350.58,active,2023-01
102,2023-01-02,Google Ads,Video_Awareness_Amplo,SMB,SP,5,975.5,churned,2023-01
103,2023-01-02,Meta Ads,Display_Generico,Mid-Market,PR,6,2997.2,churned,2023-01
104,2023-01-02,Meta Ads,Lead_Generation,Mid-Market,PE,4,1937.93,churned,2023-01
105,2023-01-02,Meta Ads,Lead_Generation,SMB,SP,4,573.22,churned,2023-01
106,2023-01-02,Meta Ads,Lead_Generation,SMB,RJ,4,694.71,active,2023-01
107,2023-01-02,Meta Ads,Lead_Generation,Enterprise,MG,3,3559.38,active,2023-01
108,2023-01-02,Meta Ads,Lead_Generation,Mid-Market,BA,3,802.52,churned,2023-01
109,2023-01-02,Meta Ads,Lead_Generation,SMB,SC,3,462.24,churned,2023-01
110,2023-01-02,Meta Ads,Performance_Search,SMB,BA,8,1977.76,active,2023-01
111,2023-01-02,Meta Ads,Performance_Search,Mid-Market,DF,3,1296.14,churned,2023-01
112,2023-01-02,Meta Ads,Performance_Search,SMB,SP,4,749.62,churned,2023-01
113,2023-01-02,Meta Ads,Performance_Search,SMB,CE,8,1498.71,churned,2023-01
114,2023-01-02,Meta Ads,Performance_Search,SMB,DF,7,1226.38,active,2023-01
115,2023-01-02,Meta Ads,Performance_Search,SMB,RS,5,1474.53,active,2023-01
116,2023-01-02,Meta Ads,Performance_Search,SMB,MG,4,638.86,active,2023-01
117,2023-01-02,Meta Ads,Performance_Search,SMB,RJ,3,623.85,active,2023-01
118,2023-01-02,Meta Ads,Performance_Search,SMB,RS,6,1377.03,active,2023-01
119,2023-01-02,Meta Ads,Performance_Search,Mid-Market,RJ,4,2996.24,active,2023-01
120,2023-01-02,Meta Ads,Performance_Search,SMB,RJ,5,945.54,churned,2023-01
121,2023-01-02,Meta Ads,Performance_Shopping,SMB,SP,4,1012.21,churned,2023-01
122,2023-01-02,Meta Ads,Performance_Shopping,SMB,BA,3,333.13,churned,2023-01
123,2023-01-02,Meta Ads,Performance_Shopping,Mid-Market,BA,6,5748.91,active,2023-01
124,2023-01-02,Meta Ads,Performance_Shopping,SMB,SP,3,365.91,active,2023-01
125,2023-01-02,Meta Ads,Performance_Shopping,SMB,MG,7,996.39,active,2023-01
126,2023-01-02,Meta Ads,Performance_Shopping,Enterprise,CE,4,3917.55,churned,2023-01
127,2023-01-02,Meta Ads,Remarketing_Display,SMB,RJ,1,131.07,active,2023-01
128,2023-01-02,Meta Ads,Remarketing_Display,SMB,RJ,4,591.87,active,2023-01
129,2023-01-02,Meta Ads,Remarketing_Display,SMB,SC,3,311.97,active,2023-01
130,2023-01-02,Meta Ads,Remarketing_Display,SMB,ES,7,1414.81,active,2023-01
131,2023-01-02,Meta Ads,Remarketing_Display,Mid-Market,DF,7,2035.71,active,2023-01
132,2023-01-02,Meta Ads,Remarketing_Display,Mid-Market,ES,5,2541.75,active,2023-01
133,2023-01-02,Meta Ads,Remarketing_Display,SMB,PR,2,181.52,active,2023-01
134,2023-01-02,Meta Ads,Remarketing_Display,SMB,DF,9,1688.75,churned,2023-01
135,2023-01-02,Meta Ads,Remarketing_Display,SMB,MG,6,1085.32,active,2023-01
136,2023-01-02,Meta Ads,Remarketing_Display,Mid-Market,SC,2,2243.17,active,2023-01
137,2023-01-02,Meta Ads,Video_Awareness_Amplo,Mid-Market,DF,4,3412.25,churned,2023-01
138,2023-01-02,Meta Ads,Video_Awareness_Amplo,Mid-Market,PE,5,3785.6,active,2023-01
139,2023-01-02,Meta Ads,Video_Awareness_Amplo,SMB,SP,10,1553.29,churned,2023-01
140,2023-01-02,TikTok Ads,Display_Generico,Mid-Market,SP,4,3303.32,active,2023-01
141,2023-01-02,TikTok Ads,Display_Generico,Mid-Market,ES,1,312.52,active,2023-01
142,2023-01-02,TikTok Ads,Display_Generico,Mid-Market,CE,4,2439.49,churned,2023-01
143,2023-01-02,TikTok Ads,Display_Generico,Enterprise,PR,7,7006.55,active,2023-01
144,2023-01-02,TikTok Ads,Display_Generico,Enterprise,BA,2,1939.37,active,2023-01
145,2023-01-02,TikTok Ads,Display_Generico,Mid-Market,ES,3,739.76,active,2023-01
146,2023-01-02,TikTok Ads,Lead_Generation,SMB,MG,8,1415.71,active,2023-01
147,2023-01-02,TikTok Ads,Lead_Generation,Mid-Market,DF,4,1656.81,active,2023-01
148,2023-01-02,TikTok Ads,Lead_Generation,SMB,BA,4,900.18,churned,2023-01
149,2023-01-02,TikTok Ads,Lead_Generation,Mid-Market,SP,4,1968.12,churned,2023-01
150,2023-01-02,TikTok Ads,Lead_Generation,Mid-Market,ES,4,1839.16,active,2023-01
151,2023-01-02,TikTok Ads,Lead_Generation,SMB,SP,3,440.74,active,2023-01
152,2023-01-02,TikTok Ads,Lead_Generation,SMB,MG,2,503.25,active,2023-01
153,2023-01-02,TikTok Ads,Lead_Generation,SMB,SP,3,744.78,churned,2023-01
154,2023-01-02,TikTok Ads,Performance_Search,SMB,PR,3,270.81,active,2023-01
155,2023-01-02,TikTok Ads,Performance_Search,Mid-Market,SC,9,4681.36,churned,2023-01
156,2023-01-02,TikTok Ads,Performance_Search,Mid-Market,MG,3,1692.21,churned,2023-01
157,2023-01-02,TikTok Ads,Performance_Search,SMB,GO,3,739.28,churned,2023-01
158,2023-01-02,TikTok Ads,Performance_Search,Mid-Market,CE,4,1879.93,churned,2023-01
159,2023-01-02,TikTok Ads,Performance_Search,SMB,SP,3,802.65,active,2023-01
160,2023-01-02,TikTok Ads,Performance_Search,Enterprise,PR,3,2607.08,active,2023-01
161,2023-01-02,TikTok Ads,Performance_Search,SMB,RS,3,478.97,active,2023-01
162,2023-01-02,TikTok Ads,Performance_Search,SMB,DF,3,342.77,active,2023-01
163,2023-01-02,TikTok Ads,Performance_Search,SMB,RJ,10,1518.28,churned,2023-01
164,2023-01-02,TikTok Ads,Performance_Search,Enterprise,SP,3,3386.5,churned,2023-01
165,2023-01-02,TikTok Ads,Performance_Search,SMB,SC,8,1396.04,churned,2023-01
166,2023-01-02,TikTok Ads,Performance_Search,SMB,SC,2,354.18,active,2023-01
167,2023-01-02,TikTok Ads,Performance_Search,SMB,SP,2,374.75,active,2023-01
168,2023-01-02,TikTok Ads,Performance_Search,SMB,RS,5,1198.71,churned,2023-01
169,2023-01-02,TikTok Ads,Performance_Search,SMB,PE,2,420.84,churned,2023-01
170,2023-01-02,TikTok Ads,Performance_Search,SMB,SP,7,1184.66,active,2023-01
171,2023-01-02,TikTok Ads,Performance_Search,SMB,SP,6,1137.04,active,2023-01
172,2023-01-02,TikTok Ads,Performance_Shopping,SMB,SP,9,1922.22,active,2023-01
173,2023-01-02,TikTok Ads,Performance_Shopping,SMB,RJ,7,1185.41,active,2023-01
174,2023-01-02,TikTok Ads,Performance_Shopping,SMB,SP,9,1478.86,active,2023-01
175,2023-01-02,TikTok Ads,Performance_Shopping,SMB,SP,1,134.68,active,2023-01
176,2023-01-02,TikTok Ads,Performance_Shopping,SMB,CE,3,328.68,active,2023-01
177,2023-01-02,TikTok Ads,Performance_Shopping,Enterprise,PE,7,8351.24,active,2023-01
178,2023-01-02,TikTok Ads,Performance_Shopping,SMB,SP,5,796.64,active,2023-01
179,2023-01-02,TikTok Ads,Performance_Shopping,Mid-Market,PR,6,3403.52,active,2023-01
180,2023-01-02,TikTok Ads,Performance_Shopping,SMB,SP,3,304.84,active,2023-01
181,2023-01-02,TikTok Ads,Performance_Shopping,Mid-Market,ES,8,5176.08,active,2023-01
182,2023-01-02,TikTok Ads,Performance_Shopping,Mid-Market,CE,8,5895.27,churned,2023-01
183,2023-01-02,TikTok Ads,Performance_Shopping,Enterprise,BA,3,3407.75,churned,2023-01
184,2023-01-02,TikTok Ads,Performance_Shopping,SMB,MG,3,496.99,active,2023-01
185,2023-01-02,TikTok Ads,Performance_Shopping,SMB,BA,3,500.71,active,2023-01
186,2023-01-02,TikTok Ads,Remarketing_Display,Enterprise,SP,10,11230.76,churned,2023-01
187,2023-01-02,TikTok Ads,Remarketing_Display,SMB,RJ,9,1439.67,churned,2023-01
188,2023-01-02,TikTok Ads,Remarketing_Display,SMB,CE,5,888.11,churned,2023-01
189,2023-01-02,TikTok Ads,Remarketing_Display,Mid-Market,RS,5,2607.58,churned,2023-01
190,2023-01-02,TikTok Ads,Remarketing_Display,SMB,SP,5,1231.54,active,2023-01
191,2023-01-02,TikTok Ads,Video_Awareness_Amplo,Mid-Market,BA,3,1570.87,churned,2023-01
192,2023-01-02,TikTok Ads,Video_Awareness_Amplo,SMB,SP,8,1245.08,active,2023-01
193,2023-01-02,TikTok Ads,Video_Awareness_Amplo,Mid-Market,MG,4,2378.25,active,2023-01
194,2023-01-02,TikTok Ads,Video_Awareness_Amplo,Enterprise,BA,3,3837.75,active,2023-01
195,2023-01-02,TikTok Ads,Video_Awareness_Amplo,SMB,BA,4,796.6,active,2023-01
196,2023-01-02,TikTok Ads,Video_Awareness_Amplo,SMB,MG,6,1165.48,churned,2023-01
197,2023-01-02,TikTok Ads,Video_Awareness_Amplo,Mid-Market,RS,6,3096.83,active,2023-01
198,2023-01-03,Google Ads,Display_Generico,Mid-Market,RJ,4,3044.56,active,2023-01
199,2023-01-03,Google Ads,Display_Generico,SMB,SP,5,871.04,churned,2023-01
200,2023-01-03,Google Ads,Lead_Generation,Mid-Market,BA,7,2691.13,active,2023-01
201,2023-01-03,Google Ads,Lead_Generation,Mid-Market,SP,5,1489.63,active,2023-01
202,2023-01-03,Google Ads,Lead_Generation,Enterprise,SP,5,5931.42,active,2023-01
203,2023-01-03,Google Ads,Lead_Generation,SMB,SP,5,867.73,active,2023-01
204,2023-01-03,Google Ads,Lead_Generation,SMB,RJ,4,790.01,active,2023-01
205,2023-01-03,Google Ads,Lead_Generation,SMB,MG,5,912.49,active,2023-01
206,2023-01-03,Google Ads,Lead_Generation,Mid-Market,SP,6,2640.4,active,2023-01
207,2023-01-03,Google Ads,Lead_Generation,Mid-Market,SP,6,4555.67,churned,2023-01
208,2023-01-03,Google Ads,Performance_Search,SMB,CE,9,2206.74,active,2023-01
209,2023-01-03,Google Ads,Performance_Search,SMB,BA,3,489.25,active,2023-01
210,2023-01-03,Google Ads,Performance_Search,SMB,SP,4,687.22,active,2023-01
211,2023-01-03,Google Ads,Performance_Search,SMB,MG,6,1356.43,active,2023-01
212,2023-01-03,Google Ads,Performance_Search,Mid-Market,BA,6,4930.71,active,2023-01
213,2023-01-03,Google Ads,Performance_Search,SMB,PR,5,912.48,churned,2023-01
214,2023-01-03,Google Ads,Performance_Shopping,SMB,SP,8,1837.11,active,2023-01
215,2023-01-03,Google Ads,Performance_Shopping,Enterprise,SP,5,5478.48,active,2023-01
216,2023-01-03,Google Ads,Performance_Shopping,SMB,SP,2,242.16,churned,2023-01
217,2023-01-03,Google Ads,Performance_Shopping,SMB,PR,4,846.48,active,2023-01
218,2023-01-03,Google Ads,Performance_Shopping,SMB,SP,4,887.93,active,2023-01
219,2023-01-03,Google Ads,Remarketing_Display,SMB,RJ,3,521.17,active,2023-01
220,2023-01-03,Google Ads,Remarketing_Display,SMB,MG,7,1243.66,active,2023-01
221,2023-01-03,Google Ads,Remarketing_Display,SMB,MG,3,319.7,active,2023-01
222,2023-01-03,Google Ads,Remarketing_Display,Mid-Market,RJ,5,2755.48,churned,2023-01
223,2023-01-03,Google Ads,Video_Awareness_Amplo,SMB,PR,4,896.11,active,2023-01
224,2023-01-03,Meta Ads,Display_Generico,SMB,ES,3,774.43,active,2023-01
225,2023-01-03,Meta Ads,Display_Generico,Mid-Market,MG,4,2833.93,active,2023-01
226,2023-01-03,Meta Ads,Lead_Generation,SMB,RS,4,761.96,active,2023-01
227,2023-01-03,Meta Ads,Lead_Generation,SMB,SC,5,1071.41,active,2023-01
228,2023-01-03,Meta Ads,Lead_Generation,SMB,RJ,2,411.57,churned,2023-01
229,2023-01-03,Meta Ads,Lead_Generation,Mid-Market,SP,8,4383.68,active,2023-01
230,2023-01-03,Meta Ads,Lead_Generation,SMB,GO,2,453.39,active,2023-01
231,2023-01-03,Meta Ads,Lead_Generation,Enterprise,RJ,3,3513.16,churned,2023-01
232,2023-01-03,Meta Ads,Lead_Generation,SMB,SP,6,999.05,churned,2023-01
233,2023-01-03,Meta Ads,Lead_Generation,Mid-Market,MG,3,1323.48,churned,2023-01
234,2023-01-03,Meta Ads,Lead_Generation,SMB,MG,4,659.25,active,2023-01
235,2023-01-03,Meta Ads,Performance_Search,SMB,CE,4,564.06,churned,2023-01
236,2023-01-03,Meta Ads,Performance_Search,Mid-Market,SC,3,1887.12,active,2023-01
237,2023-01-03,Meta Ads,Performance_Search,SMB,MG,4,1030.9,active,2023-01
238,2023-01-03,Meta Ads,Performance_Search,SMB,SP,5,858.39,active,2023-01
239,2023-01-03,Meta Ads,Performance_Shopping,Mid-Market,GO,5,4550.29,active,2023-01
240,2023-01-03,Meta Ads,Performance_Shopping,SMB,MG,6,1561.44,active,2023-01
241,2023-01-03,Meta Ads,Performance_Shopping,SMB,SP,5,918.46,active,2023-01
242,2023-01-03,Meta Ads,Performance_Shopping,Mid-Market,SP,7,2587.6,active,2023-01
243,2023-01-03,Meta Ads,Remarketing_Display,SMB,SC,5,1214.57,active,2023-01
244,2023-01-03,Meta Ads,Remarketing_Display,Enterprise,RJ,3,3958.94,active,2023-01
245,2023-01-03,Meta Ads,Video_Awareness_Amplo,SMB,PE,4,688.37,active,2023-01
246,2023-01-03,Meta Ads,Video_Awareness_Amplo,Mid-Market,MG,5,2283.9,active,2023-01
247,2023-01-03,Meta Ads,Video_Awareness_Amplo,Mid-Market,RJ,3,883.76,churned,2023-01
248,2023-01-03,TikTok Ads,Display_Generico,SMB,SC,1,323.57,active,2023-01
249,2023-01-03,TikTok Ads,Display_Generico,Mid-Market,BA,8,5950.01,active,2023-01
250,2023-01-03,TikTok Ads,Display_Generico,SMB,RS,5,846.92,active,2023-01
251,2023-01-03,TikTok Ads,Display_Generico,SMB,SC,1,324.46,churned,2023-01
252,2023-01-03,TikTok Ads,Lead_Generation,SMB,SP,8,1761.73,churned,2023-01
253,2023-01-03,TikTok Ads,Lead_Generation,SMB,BA,1,226.36,active,2023-01
254,2023-01-03,TikTok Ads,Lead_Generation,Enterprise,MG,5,5071.85,active,2023-01
255,2023-01-03,TikTok Ads,Lead_Generation,Mid-Market,MG,7,5243.9,churned,2023-01
256,2023-01-03,TikTok Ads,Lead_Generation,SMB,SP,4,468.85,active,2023-01
257,2023-01-03,TikTok Ads,Lead_Generation,Enterprise,PR,4,4440.45,active,2023-01
258,2023-01-03,TikTok Ads,Lead_Generation,Mid-Market,PR,5,2439.9,active,2023-01
259,2023-01-03,TikTok Ads,Lead_Generation,Enterprise,MG,5,4657.71,active,2023-01
260,2023-01-03,TikTok Ads,Lead_Generation,SMB,RJ,3,609.53,active,2023-01
261,2023-01-03,TikTok Ads,Lead_Generation,SMB,SP,4,988.17,churned,2023-01
262,2023-01-03,TikTok Ads,Lead_Generation,SMB,PE,5,922.03,churned,2023-01
263,2023-01-03,TikTok Ads,Lead_Generation,Mid-Market,RS,5,3542.67,active,2023-01
264,2023-01-03,TikTok Ads,Lead_Generation,SMB,PR,3,566.21,active,2023-01
265,2023-01-03,TikTok Ads,Lead_Generation,SMB,SP,3,512.21,churned,2023-01
266,2023-01-03,TikTok Ads,Lead_Generation,SMB,PR,5,1087.0,churned,2023-01
267,2023-01-03,TikTok Ads,Lead_Generation,Mid-Market,SP,6,2380.22,active,2023-01
268,2023-01-03,TikTok Ads,Lead_Generation,SMB,SP,2,294.47,churned,2023-01
269,2023-01-03,TikTok Ads,Lead_Generation,SMB,SP,5,884.99,active,2023-01
270,2023-01-03,TikTok Ads,Lead_Generation,SMB,DF,1,396.08,churned,2023-01
271,2023-01-03,TikTok Ads,Lead_Generation,SMB,SP,4,665.76,active,2023-01
272,2023-01-03,TikTok Ads,Lead_Generation,Mid-Market,SP,6,4500.09,churned,2023-01
273,2023-01-03,TikTok Ads,Performance_Search,Enterprise,MG,2,2416.24,active,2023-01
274,2023-01-03,TikTok Ads,Performance_Search,Enterprise,SC,3,3767.71,active,2023-01
275,2023-01-03,TikTok Ads,Performance_Search,SMB,PR,3,620.77,active,2023-01
276,2023-01-03,TikTok Ads,Performance_Search,SMB,SP,7,1900.21,churned,2023-01
277,2023-01-03,TikTok Ads,Performance_Search,Mid-Market,SP,7,2950.15,active,2023-01
278,2023-01-03,TikTok Ads,Performance_Search,SMB,RJ,9,1895.02,active,2023-01
279,2023-01-03,TikTok Ads,Performance_Search,SMB,SP,3,855.02,active,2023-01
280,2023-01-03,TikTok Ads,Performance_Search,Enterprise,RJ,1,1395.82,active,2023-01
281,2023-01-03,TikTok Ads,Performance_Search,SMB,SP,7,1339.66,active,2023-01
282,2023-01-03,TikTok Ads,Performance_Search,SMB,SP,2,164.79,churned,2023-01
283,2023-01-03,TikTok Ads,Performance_Search,Mid-Market,ES,4,1880.73,churned,2023-01
284,2023-01-03,TikTok Ads,Performance_Search,SMB,RJ,3,625.99,active,2023-01
285,2023-01-03,TikTok Ads,Performance_Search,SMB,PE,5,823.91,active,2023-01
286,2023-01-03,TikTok Ads,Performance_Search,Mid-Market,RJ,3,1457.94,churned,2023-01
287,2023-01-03,TikTok Ads,Performance_Search,SMB,PE,7,1614.46,active,2023-01
288,2023-01-03,TikTok Ads,Performance_Search,SMB,CE,6,1341.97,churned,2023-01
289,2023-01-03,TikTok Ads,Performance_Search,SMB,SP,5,732.27,active,2023-01
290,2023-01-03,TikTok Ads,Performance_Search,SMB,CE,4,415.22,churned,2023-01
291,2023-01-03,TikTok Ads,Performance_Search,Mid-Market,DF,4,1454.94,active,2023-01
292,2023-01-03,TikTok Ads,Performance_Search,Enterprise,BA,5,5547.87,active,2023-01
293,2023-01-03,TikTok Ads,Performance_Search,SMB,SC,3,494.89,churned,2023-01
294,2023-01-03,TikTok Ads,Performance_Search,Mid-Market,RS,7,6327.17,churned,2023-01
295,2023-01-03,TikTok Ads,Performance_Search,SMB,RJ,5,887.57,active,2023-01
296,2023-01-03,TikTok Ads,Performance_Search,SMB,SP,5,1067.36,churned,2023-01
