Data,Canal,Campanha,Investimento,Impressoes,Cliques,Conversoes,Pedidos,Receita,Novos_Clientes
2023-01-02,TikTok Ads,Performance_Shopping,524.68,1096,443,99,5.0,2128.79,5.0
2023-01-02,TikTok Ads,Remarketing_Display,196.86,5545,163,42,1.0,388.44,0.0
2023-01-02,TikTok Ads,Video_Awareness_Amplo,1440.55,41591,1263,53,3.0,613.0699999999999,1.0
2023-01-03,Google Ads,Display_Generico,1033.66,13629,402,12,1.0,802.19,0.0
2023-01-03,Google Ads,Lead_Generation,785.21,898,298,52,3.0,781.23,2.0
2023-01-03,Google Ads,Performance_Search,558.06,687,246,54,5.0,2654.48,1.0
2023-01-03,Google Ads,Performance_Shopping,421.19,464,176,31,4.0,818.59,1.0
2023-01-03,Google Ads,Remarketing_Display,223.83,2661,89,21,3.0,627.25,2.0
2023-01-03,Google Ads,Video_Awareness_Amplo,843.78,12157,316,11,1.0,227.5,1.0
2023-01-03,Meta Ads,Display_Generico,958.5,17851,515,14,2.0,632.24,2.0
2023-01-03,Meta Ads,Lead_Generation,591.04,1022,355,58,5.0,1612.61,3.0
2023-01-03,Meta Ads,Performance_Search,414.91,682,226,40,4.0,555.84,2.0
2023-01-03,Meta Ads,Performance_Shopping,691.34,1232,406,64,4.0,2452.8199999999997,3.0
2023-01-03,Meta Ads,Remarketing_Display,330.58,6218,187,39,6.0,2287.41,2.0
2023-01-03,Meta Ads,Video_Awareness_Amplo,1144.41,31259,670,26,2.0,472.76,1.0
2023-01-03,TikTok Ads,Display_Generico,785.46,22650,702,24,0.0,0.0,0.0
2023-01-03,TikTok Ads,Lead_Generation,746.67,1970,689,133,13.0,4547.33,8.0
2023-01-03,TikTok Ads,Performance_Search,919.1,2028,746,175,13.0,4521.1900000000005,10.0
2023-01-03,TikTok Ads,Performance_Shopping,816.77,1538,630,139,13.0,5807.91,10.0
2023-01-03,TikTok Ads,Remarketing_Display,321.02,11070,291,86,5.0,1001.79,4.0
2023-01-03,TikTok Ads,Video_Awareness_Amplo,1228.1,32837,1083,45,6.0,2485.82,2.0
2023-01-04,Google Ads,Display_Generico,1176.75,19156,471,14,1.0,128.87,1.0
2023-01-04,Google Ads,Lead_Generation,914.19,960,356,60,8.0,5279.09,3.0
2023-01-04,Google Ads,Performance_Search,581.85,613,221,52,6.0,996.5,3.0
2023-01-04,Google Ads,Performance_Shopping,776.69,951,306,56,7.0,2245.68,3.0
2023-01-04,Google Ads,Remarketing_Display,247.35,3123,104,25,5.0,2445.5,3.0
2023-01-04,Google Ads,Video_Awareness_Amplo,974.12,14512,430,16,1.0,114.25,0.0
2023-01-04,Meta Ads,Display_Generico,1422.56,28878,760,18,1.0,384.12,1.0
2023-01-04,Meta Ads,Lead_Generation,890.19,1716,513,79,7.0,2472.09,6.0
2023-01-04,Meta Ads,Performance_Search,942.58,1385,480,92,9.0,3339.62,3.0
2023-01-04,Meta Ads,Performance_Shopping,400.07,646,204,38,6.0,1608.26,6.0
2023-01-04,Meta Ads,Remarketing_Display,383.89,8469,199,43,5.0,1303.13,3.0
2023-01-04,Meta Ads,Video_Awareness_Amplo,1202.82,27744,608,21,5.0,4452.05,2.0
2023-01-04,TikTok Ads,Display_Generico,1390.99,41437,1197,36,2.0,583.3199999999999,1.0
2023-01-04,TikTok Ads,Lead_Generation,859.2,1757,695,137,13.0,4407.17,7.0
2023-01-04,TikTok Ads,Performance_Search,905.58,1820,719,181,28.0,11083.84,19.0
2023-01-04,TikTok Ads,Performance_Shopping,601.84,1296,523,116,18.0,6347.99,13.0
2023-01-04,TikTok Ads,Remarketing_Display,365.01,9168,280,77,6.0,2524.04,5.0
2023-01-04,TikTok Ads,Video_Awareness_Amplo,1177.69,36055,1081,47,8.0,3535.5099999999998,6.0
2023-01-05,Google Ads,Display_Generico,1278.83,16570,467,13,1.0,358.62,0.0
2023-01-05,Google Ads,Lead_Generation,421.31,473,167,29,6.0,3183.67,5.0
2023-01-05,Google Ads,Performance_Search,559.06,690,219,43,3.0,603.39,2.0
2023-01-05,Google Ads,Performance_Shopping,873.46,1108,359,68,6.0,1346.3,5.0
2023-01-05,Google Ads,Remarketing_Display,346.03,4969,146,33,6.0,1693.8600000000001,4.0
2023-01-05,Google Ads,Video_Awareness_Amplo,1326.11,20317,555,20,2.0,360.77,1.0
2023-01-05,Meta Ads,Display_Generico,1069.11,25906,625,17,4.0,615.8,2.0
2023-01-05,Meta Ads,Lead_Generation,951.03,1558,504,78,13.0,7871.43,10.0
2023-01-05,Meta Ads,Performance_Search,405.87,603,206,42,8.0,3484.84,4.0
2023-01-05,Meta Ads,Performance_Shopping,630.85,1254,374,60,8.0,2535.86,5.0
2023-01-05,Meta Ads,Remarketing_Display,302.87,5910,161,34,6.0,1188.56,6.0
2023-01-05,Meta Ads,Video_Awareness_Amplo,791.85,22719,476,15,4.0,2915.75,4.0
2023-01-05,TikTok Ads,Display_Generico,1232.71,43728,1101,37,7.0,1810.17,6.0
2023-01-05,TikTok Ads,Lead_Generation,610.71,1304,496,99,22.0,10260.28,15.0
2023-01-05,TikTok Ads,Performance_Search,892.73,1888,714,158,23.0,8885.15,16.0
2023-01-05,TikTok Ads,Performance_Shopping,679.33,1602,569,117,18.0,9347.380000000001,11.0
2023-01-05,TikTok Ads,Remarketing_Display,273.41,6928,222,55,10.0,8835.95,7.0
2023-01-05,TikTok Ads,Video_Awareness_Amplo,800.14,18320,655,29,3.0,2339.06,1.0
2023-01-06,Google Ads,Display_Generico,1360.11,19066,601,17,3.0,464.35,3.0
2023-01-06,Google Ads,Lead_Generation,446.39,537,172,28,12.0,3691.35,6.0
2023-01-06,Google Ads,Performance_Search,618.66,691,240,53,14.0,4763.89,8.0
2023-01-06,Google Ads,Performance_Shopping,943.17,1009,386,79,10.0,4021.27,6.0
2023-01-06,Google Ads,Remarketing_Display,233.78,4335,102,23,6.0,874.71,6.0
2023-01-06,Google Ads,Video_Awareness_Amplo,862.85,11275,332,14,3.0,1850.96,1.0
2023-01-06,Meta Ads,Display_Generico,852.56,17073,438,12,3.0,1592.48,1.0
2023-01-06,Meta Ads,Lead_Generation,894.46,1499,504,81,13.0,3041.38,12.0
2023-01-06,Meta Ads,Performance_Search,822.12,1404,430,79,15.0,9923.33,11.0
2023-01-06,Meta Ads,Performance_Shopping,831.24,1237,435,73,16.0,4988.870000000001,13.0
2023-01-06,Meta Ads,Remarketing_Display,268.23,5882,141,34,5.0,835.8000000000001,3.0
2023-01-06,Meta Ads,Video_Awareness_Amplo,1000.99,21050,515,16,5.0,1951.72,3.0
2023-01-06,TikTok Ads,Display_Generico,821.38,22803,677,24,11.0,4881.14,8.0
2023-01-06,TikTok Ads,Lead_Generation,855.26,1928,673,125,19.0,9797.210000000001,15.0
2023-01-06,TikTok Ads,Performance_Search,922.01,2282,836,220,44.0,20819.1,29.0
2023-01-06,TikTok Ads,Performance_Shopping,948.53,1997,779,161,36.0,16192.369999999999,23.0
2023-01-06,TikTok Ads,Remarketing_Display,252.82,6708,218,62,15.0,4707.83,10.0
2023-01-06,TikTok Ads,Video_Awareness_Amplo,1022.11,35381,922,42,7.0,2322.1899999999996,4.0
2023-01-07,Google Ads,Display_Generico,675.65,9452,294,8,1.0,118.98,0.0
2023-01-07,Google Ads,Lead_Generation,564.01,539,207,36,7.0,3610.36,6.0
2023-01-07,Google Ads,Performance_Search,489.83,660,212,48,13.0,5347.9400000000005,8.0
2023-01-07,Google Ads,Performance_Shopping,281.89,288,105,18,12.0,8206.08,11.0
2023-01-07,Google Ads,Remarketing_Display,137.86,1880,50,12,7.0,1682.11,2.0
2023-01-07,Google Ads,Video_Awareness_Amplo,696.98,10868,257,10,5.0,1171.04,2.0
2023-01-07,Meta Ads,Display_Generico,527.5,10469,271,8,3.0,484.19,0.0
2023-01-07,Meta Ads,Lead_Generation,339.39,595,172,28,14.0,7396.54,9.0
2023-01-07,Meta Ads,Performance_Search,258.48,493,144,26,6.0,1305.8899999999999,4.0
2023-01-07,Meta Ads,Performance_Shopping,298.95,479,161,27,9.0,6722.23,3.0
2023-01-07,Meta Ads,Remarketing_Display,249.34,6066,142,34,12.0,4211.43,6.0
2023-01-07,Meta Ads,Video_Awareness_Amplo,541.12,9767,297,10,2.0,412.13,2.0
2023-01-07,TikTok Ads,Display_Generico,767.89,19298,698,25,8.0,3693.9,3.0
2023-01-07,TikTok Ads,Lead_Generation,359.89,845,319,57,20.0,6724.07,9.0
2023-01-07,TikTok Ads,Performance_Search,494.09,1051,396,98,26.0,10926.82,16.0
2023-01-07,TikTok Ads,Performance_Shopping,476.91,1062,367,73,22.0,8189.58,17.0
2023-01-07,TikTok Ads,Remarketing_Display,247.85,6396,191,53,18.0,4569.0599999999995,12.0
2023-01-07,TikTok Ads,Video_Awareness_Amplo,818.82,24106,677,31,8.0,2655.85,5.0
2023-01-08,Google Ads,Display_Generico,772.55,9500,316,10,2.0,317.43,2.0
2023-01-08,Google Ads,Lead_Generation,397.67,387,149,23,11.0,4776.45,9.0
2023-01-08,Google Ads,Performance_Search,515.19,580,220,51,11.0,3745.34,7.0
2023-01-08,Google Ads,Performance_Shopping,616.24,656,235,43,10.0,4003.26,6.0
2023-01-08,Google Ads,Remarketing_Display,245.6,3972,91,20,4.0,2345.76,2.0
2023-01-08,Google Ads,Video_Awareness_Amplo,881.16,13088,354,13,1.0,1408.64,1.0
2023-01-08,Meta Ads,Display_Generico,783.22,20653,447,12,0.0,0.0,0.0
2023-01-08,Meta Ads,Lead_Generation,617.86,1110,336,53,13.0,4791.16,9.0
2023-01-08,Meta Ads,Performance_Search,275.64,417,142,30,14.0,5007.450000000001,9.0
2023-01-08,Meta Ads,Performance_Shopping,634.09,1031,348,64,9.0,5209.56,4.0
2023-01-08,Meta Ads,Remarketing_Display,235.04,5459,137,28,3.0,1577.1299999999999,2.0
2023-01-08,Meta Ads,Video_Awareness_Amplo,739.71,15073,389,14,1.0,935.23,0.0
2023-01-08,TikTok Ads,Display_Generico,910.44,25580,782,27,5.0,1344.12,3.0
2023-01-08,TikTok Ads,Lead_Generation,387.8,852,317,58,23.0,10201.38,19.0
2023-01-08,TikTok Ads,Performance_Search,464.55,934,382,90,40.0,14672.2,30.0
2023-01-08,TikTok Ads,Performance_Shopping,305.24,701,280,59,28.0,11112.44,19.0
2023-01-08,TikTok Ads,Remarketing_Display,216.55,7352,191,47,14.0,4424.26,10.0
2023-01-08,TikTok Ads,Video_Awareness_Amplo,684.67,15974,556,26,10.0,3437.76,6.0
2023-01-09,Google Ads,Display_Generico,906.45,11527,374,11,3.0,558.4599999999999,2.0
2023-01-09,Google Ads,Lead_Generation,466.1,615,200,34,6.0,1731.2,4.0
2023-01-09,Google Ads,Performance_Search,477.26,500,175,36,6.0,1669.7,3.0
2023-01-09,Google Ads,Performance_Shopping,660.28,686,240,44,13.0,4706.43,6.0
2023-01-09,Google Ads,Remarketing_Display,319.33,5763,134,31,8.0,5126.66,4.0
2023-01-09,Google Ads,Video_Awareness_Amplo,1238.78,21585,530,19,6.0,1831.31,5.0
2023-01-09,Meta Ads,Display_Generico,823.79,16669,479,13,1.0,1135.23,1.0
2023-01-09,Meta Ads,Lead_Generation,759.26,1337,460,76,13.0,5793.62,8.0
2023-01-09,Meta Ads,Performance_Search,490.08,948,284,51,10.0,2793.72,9.0
2023-01-09,Meta Ads,Performance_Shopping,461.75,856,258,42,14.0,3750.98,10.0
2023-01-09,Meta Ads,Remarketing_Display,293.92,7518,157,37,7.0,5025.24,5.0
2023-01-09,Meta Ads,Video_Awareness_Amplo,908.26,22040,535,19,0.0,0.0,0.0
2023-01-09,TikTok Ads,Display_Generico,795.73,25547,687,21,2.0,1073.03,0.0
2023-01-09,TikTok Ads,Lead_Generation,703.38,1702,617,112,23.0,11073.77,14.0
2023-01-09,TikTok Ads,Performance_Search,753.61,1707,644,163,25.0,6931.66,15.0
2023-01-09,TikTok Ads,Performance_Shopping,412.51,911,361,81,21.0,8507.56,14.0
2023-01-09,TikTok Ads,Remarketing_Display,295.53,9522,244,66,11.0,4557.12,7.0
2023-01-09,TikTok Ads,Video_Awareness_Amplo,863.95,21149,667,30,4.0,1793.23,2.0
2023-01-10,Google Ads,Display_Generico,851.64,14549,366,10,2.0,218.16,2.0
2023-01-10,Google Ads,Lead_Generation,599.85,609,218,35,7.0,1974.48,3.0
2023-01-10,Google Ads,Performance_Search,853.85,1062,341,75,10.0,3868.36,7.0
2023-01-10,Google Ads,Performance_Shopping,735.18,811,280,49,12.0,6435.17,10.0
2023-01-10,Google Ads,Remarketing_Display,250.98,3475,103,26,5.0,1610.2900000000002,4.0
2023-01-10,Google Ads,Video_Awareness_Amplo,909.66,15611,380,16,5.0,2745.84,5.0
2023-01-10,Meta Ads,Display_Generico,1308.53,32570,775,20,2.0,426.13,0.0
2023-01-10,Meta Ads,Lead_Generation,936.08,1583,514,75,17.0,3970.77,9.0
2023-01-10,Meta Ads,Performance_Search,438.06,770,242,52,10.0,2281.25,8.0
2023-01-10,Meta Ads,Performance_Shopping,456.71,739,259,47,13.0,5200.36,6.0
2023-01-10,Meta Ads,Remarketing_Display,355.24,9311,207,48,8.0,4715.99,4.0
2023-01-10,Meta Ads,Video_Awareness_Amplo,1129.33,30522,661,24,3.0,570.59,2.0
2023-01-10,TikTok Ads,Display_Generico,1104.68,32805,937,33,6.0,1659.4099999999999,4.0
2023-01-10,TikTok Ads,Lead_Generation,540.35,1085,434,82,18.0,6590.04,13.0
2023-01-10,TikTok Ads,Performance_Search,560.28,1297,459,110,32.0,12313.13,20.0
2023-01-10,TikTok Ads,Performance_Shopping,703.36,1749,643,124,19.0,7538.9,11.0
2023-01-10,TikTok Ads,Remarketing_Display,207.89,5559,157,45,9.0,2238.21,4.0
2023-01-10,TikTok Ads,Video_Awareness_Amplo,1350.35,39835,1029,47,6.0,3007.7,3.0
2023-01-11,Google Ads,Display_Generico,1050.53,14459,395,11,1.0,366.09,0.0
2023-01-11,Google Ads,Lead_Generation,781.14,914,311,56,3.0,496.96000000000004,3.0
2023-01-11,Google Ads,Performance_Search,941.34,1257,402,92,8.0,2706.34,4.0
2023-01-11,Google Ads,Performance_Shopping,727.93,837,272,54,9.0,2850.95,7.0
2023-01-11,Google Ads,Remarketing_Display,234.92,4125,100,26,1.0,368.91,0.0
2023-01-11,Google Ads,Video_Awareness_Amplo,1098.59,14850,457,18,1.0,105.69,1.0
2023-01-11,Meta Ads,Display_Generico,885.78,22193,511,14,3.0,708.25,0.0
2023-01-11,Meta Ads,Lead_Generation,754.67,1205,416,67,11.0,4620.84,9.0
2023-01-11,Meta Ads,Performance_Search,527.19,867,271,54,11.0,1685.53,7.0
2023-01-11,Meta Ads,Performance_Shopping,922.65,1692,500,93,6.0,2288.34,5.0
2023-01-11,Meta Ads,Remarketing_Display,318.22,8308,182,43,9.0,1944.94,7.0
2023-01-11,Meta Ads,Video_Awareness_Amplo,804.94,15589,441,17,4.0,1039.87,1.0
2023-01-11,TikTok Ads,Display_Generico,906.26,22219,698,22,5.0,2095.9,2.0
2023-01-11,TikTok Ads,Lead_Generation,798.0,1824,659,119,16.0,6067.59,10.0
2023-01-11,TikTok Ads,Performance_Search,591.63,1321,463,119,33.0,12461.73,24.0
2023-01-11,TikTok Ads,Performance_Shopping,465.77,983,396,76,24.0,12798.289999999999,16.0
2023-01-11,TikTok Ads,Remarketing_Display,240.32,5774,191,54,14.0,7064.92,7.0
2023-01-11,TikTok Ads,Video_Awareness_Amplo,1098.13,32041,839,37,7.0,2333.15,6.0
2023-01-12,Google Ads,Display_Generico,1090.49,14118,472,15,2.0,319.74,2.0
2023-01-12,Google Ads,Lead_Generation,639.75,641,244,45,7.0,2714.6200000000003,6.0
2023-01-12,Google Ads,Performance_Search,687.7,850,269,63,12.0,5257.29,8.0
2023-01-12,Google Ads,Performance_Shopping,937.69,1017,370,76,12.0,5122.25,6.0
2023-01-12,Google Ads,Remarketing_Display,333.77,4955,143,36,3.0,651.01,2.0
2023-01-12,Google Ads,Video_Awareness_Amplo,867.3,9924,319,12,1.0,340.03,0.0
2023-01-12,Meta Ads,Display_Generico,878.38,20364,521,13,3.0,666.53,2.0
2023-01-12,Meta Ads,Lead_Generation,823.54,1524,461,69,20.0,5449.17,14.0
2023-01-12,Meta Ads,Performance_Search,737.78,1433,418,80,15.0,5620.46,7.0
2023-01-12,Meta Ads,Performance_Shopping,861.87,1716,531,88,15.0,4730.59,9.0
2023-01-12,Meta Ads,Remarketing_Display,300.56,6409,154,33,8.0,3183.84,6.0
2023-01-12,Meta Ads,Video_Awareness_Amplo,1407.98,30425,804,29,5.0,4290.95,4.0
2023-01-12,TikTok Ads,Display_Generico,807.01,21674,676,20,3.0,1664.19,2.0
2023-01-12,TikTok Ads,Lead_Generation,514.11,1107,396,69,17.0,7240.75,8.0
2023-01-12,TikTok Ads,Performance_Search,398.68,902,321,84,23.0,8314.81,13.0
2023-01-12,TikTok Ads,Performance_Shopping,478.19,1162,405,93,14.0,7253.61,7.0
2023-01-12,TikTok Ads,Remarketing_Display,293.68,9548,240,69,6.0,2036.55,5.0
2023-01-12,TikTok Ads,Video_Awareness_Amplo,1312.65,35964,1104,48,12.0,4344.2,10.0
2023-01-13,Google Ads,Display_Generico,940.11,16047,363,10,5.0,982.59,3.0
2023-01-13,Google Ads,Lead_Generation,810.92,990,314,50,9.0,4741.24,7.0
2023-01-13,Google Ads,Performance_Search,626.05,757,247,50,12.0,2893.75,6.0
2023-01-13,Google Ads,Performance_Shopping,896.44,964,329,59,12.0,4978.37,7.0
2023-01-13,Google Ads,Remarketing_Display,321.4,5730,130,30,3.0,812.75,0.0
2023-01-13,Google Ads,Video_Awareness_Amplo,1329.34,19117,568,21,5.0,3441.31,4.0
2023-01-13,Meta Ads,Display_Generico,1070.36,19098,551,14,3.0,460.32,2.0
2023-01-13,Meta Ads,Lead_Generation,512.93,1048,314,48,5.0,1950.1599999999999,5.0
2023-01-13,Meta Ads,Performance_Search,449.32,786,263,55,10.0,1762.4,7.0
2023-01-13,Meta Ads,Performance_Shopping,877.92,1502,497,79,15.0,4335.49,8.0
2023-01-13,Meta Ads,Remarketing_Display,252.81,6306,130,26,8.0,3037.24,4.0
2023-01-13,Meta Ads,Video_Awareness_Amplo,959.51,20584,546,18,4.0,1045.88,2.0
2023-01-13,TikTok Ads,Display_Generico,1215.46,40900,1064,37,9.0,2993.09,7.0
2023-01-13,TikTok Ads,Lead_Generation,640.39,1627,590,111,28.0,13818.82,19.0
2023-01-13,TikTok Ads,Performance_Search,757.06,1672,642,153,30.0,12752.710000000001,22.0
2023-01-13,TikTok Ads,Performance_Shopping,563.7,1077,431,83,18.0,9045.68,14.0
2023-01-13,TikTok Ads,Remarketing_Display,365.29,8665,305,88,18.0,6832.05,13.0
2023-01-13,TikTok Ads,Video_Awareness_Amplo,1455.58,45668,1206,50,7.0,3367.3999999999996,3.0
2023-01-14,Google Ads,Display_Generico,586.3,7973,216,6,1.0,329.97,1.0
2023-01-14,Google Ads,Lead_Generation,587.3,644,230,40,13.0,4919.85,7.0
2023-01-14,Google Ads,Performance_Search,261.16,296,96,21,15.0,4917.34,11.0
2023-01-14,Google Ads,Performance_Shopping,358.63,391,141,28,11.0,3271.61,7.0
2023-01-14,Google Ads,Remarketing_Display,153.31,2799,67,18,3.0,1946.8,1.0
2023-01-14,Google Ads,Video_Awareness_Amplo,739.1,13395,325,13,5.0,2323.2799999999997,3.0
2023-01-14,Meta Ads,Display_Generico,772.97,18425,471,12,4.0,875.44,2.0
2023-01-14,Meta Ads,Lead_Generation,533.42,1082,314,45,10.0,4264.51,9.0
2023-01-14,Meta Ads,Performance_Search,285.71,510,155,30,5.0,2049.89,3.0
2023-01-14,Meta Ads,Performance_Shopping,364.21,622,208,34,14.0,6457.3,6.0
2023-01-14,Meta Ads,Remarketing_Display,199.05,4069,111,27,6.0,2865.42,6.0
2023-01-14,Meta Ads,Video_Awareness_Amplo,656.96,16039,346,11,8.0,2927.97,7.0
2023-01-14,TikTok Ads,Display_Generico,590.64,13968,488,16,4.0,3001.33,1.0
2023-01-14,TikTok Ads,Lead_Generation,603.85,1308,542,100,25.0,11062.37,16.0
2023-01-14,TikTok Ads,Performance_Search,531.75,1123,443,105,23.0,7630.77,15.0
2023-01-14,TikTok Ads,Performance_Shopping,348.08,675,272,59,18.0,6249.11,12.0
2023-01-14,TikTok Ads,Remarketing_Display,161.66,4597,132,33,8.0,5689.45,3.0
2023-01-14,TikTok Ads,Video_Awareness_Amplo,867.03,21381,700,32,5.0,2202.75,2.0
2023-01-15,Google Ads,Display_Generico,928.27,11636,373,11,2.0,465.44,0.0
2023-01-15,Google Ads,Lead_Generation,520.02,568,216,40,8.0,2580.5699999999997,6.0
2023-01-15,Google Ads,Performance_Search,349.33,423,140,33,13.0,5306.13,8.0
2023-01-15,Google Ads,Performance_Shopping,614.05,740,270,55,11.0,3537.3700000000003,8.0
2023-01-15,Google Ads,Remarketing_Display,150.02,1806,59,13,5.0,3247.95,3.0
2023-01-15,Google Ads,Video_Awareness_Amplo,650.22,10694,244,9,1.0,796.63,0.0
2023-01-15,Meta Ads,Display_Generico,895.29,18684,550,14,1.0,681.98,0.0
2023-01-15,Meta Ads,Lead_Generation,591.91,1059,321,44,16.0,4968.4,12.0
2023-01-15,Meta Ads,Performance_Search,341.84,699,205,42,15.0,5690.46,11.0
2023-01-15,Meta Ads,Performance_Shopping,383.72,698,204,33,12.0,4945.69,7.0
2023-01-15,Meta Ads,Remarketing_Display,195.63,4295,102,23,8.0,2680.7,6.0
2023-01-15,Meta Ads,Video_Awareness_Amplo,925.96,15798,485,16,3.0,2873.6000000000004,3.0
2023-01-15,TikTok Ads,Display_Generico,527.02,13377,486,15,5.0,634.82,2.0
2023-01-15,TikTok Ads,Lead_Generation,389.34,927,338,59,15.0,7900.95,8.0
2023-01-15,TikTok Ads,Performance_Search,546.62,1225,464,115,19.0,8853.42,14.0
2023-01-15,TikTok Ads,Performance_Shopping,587.22,1113,446,91,17.0,9286.65,8.0
2023-01-15,TikTok Ads,Remarketing_Display,180.62,5252,143,36,10.0,3728.5299999999997,6.0
2023-01-15,TikTok Ads,Video_Awareness_Amplo,679.23,20241,546,26,8.0,2765.6000000000004,7.0
2023-01-16,Google Ads,Display_Generico,932.87,12784,398,11,5.0,3506.29,5.0
2023-01-16,Google Ads,Lead_Generation,747.44,899,298,47,7.0,2959.33,4.0
2023-01-16,Google Ads,Performance_Search,852.19,1077,371,87,16.0,6774.9,11.0
2023-01-16,Google Ads,Performance_Shopping,945.09,1061,380,67,11.0,3297.5,9.0
2023-01-16,Google Ads,Remarketing_Display,389.27,4975,164,42,3.0,622.76,1.0
2023-01-16,Google Ads,Video_Awareness_Amplo,821.58,9288,300,13,0.0,0.0,0.0
2023-01-16,Meta Ads,Display_Generico,1390.13,24122,707,20,4.0,995.4100000000001,3.0
2023-01-16,Meta Ads,Lead_Generation,444.66,750,229,32,14.0,4092.5699999999997,10.0
2023-01-16,Meta Ads,Performance_Search,974.51,1847,579,120,13.0,5727.46,11.0
2023-01-16,Meta Ads,Performance_Shopping,799.22,1402,477,77,16.0,6845.79,6.0
2023-01-16,Meta Ads,Remarketing_Display,239.26,4933,131,29,5.0,1078.65,3.0
2023-01-16,Meta Ads,Video_Awareness_Amplo,1230.35,31632,676,23,3.0,307.32,0.0
2023-01-16,TikTok Ads,Display_Generico,964.71,21959,747,25,5.0,1308.73,4.0
2023-01-16,TikTok Ads,Lead_Generation,874.68,1908,751,142,24.0,7077.32,17.0
2023-01-16,TikTok Ads,Performance_Search,609.58,1342,533,128,25.0,9802.32,15.0
2023-01-16,TikTok Ads,Performance_Shopping,438.53,982,387,74,17.0,6107.22,14.0
2023-01-16,TikTok Ads,Remarketing_Display,361.91,9978,301,84,15.0,5719.49,6.0
2023-01-16,TikTok Ads,Video_Awareness_Amplo,1364.01,32125,1058,49,11.0,5365.28,7.0
2023-01-17,Google Ads,Display_Generico,786.37,11190,328,10,3.0,2964.1400000000003,1.0
2023-01-17,Google Ads,Lead_Generation,485.29,487,182,30,10.0,2494.3199999999997,6.0
2023-01-17,Google Ads,Performance_Search,800.07,859,308,71,14.0,4062.31,8.0
2023-01-17,Google Ads,Performance_Shopping,484.02,476,179,30,10.0,2753.9700000000003,7.0
2023-01-17,Google Ads,Remarketing_Display,356.95,5888,154,40,12.0,2531.06,8.0
2023-01-17,Google Ads,Video_Awareness_Amplo,1214.32,17287,510,20,1.0,283.77,1.0
2023-01-17,Meta Ads,Display_Generico,1018.67,26350,552,16,4.0,1327.9099999999999,2.0
