Data,Meta_Receita,Meta_Pedidos,Meta_Novos_Clientes,Meta_ROAS
2022-06-01,24500.0,60,40,2.8
2022-06-02,24500.0,60,40,2.8
2022-06-03,24500.0,60,40,2.8
2022-06-04,17150.0,42,28,2.8
2022-06-05,17150.0,42,28,2.8
2022-06-06,24500.0,60,40,2.8
2022-06-07,24500.0,60,40,2.8
2022-06-08,24500.0,60,40,2.8
2022-06-09,24500.0,60,40,2.8
2022-06-10,24500.0,60,40,2.8
2022-06-11,17150.0,42,28,2.8
2022-06-12,17150.0,42,28,2.8
2022-06-13,24500.0,60,40,2.8
2022-06-14,24500.0,60,40,2.8
2022-06-15,24500.0,60,40,2.8
2022-06-16,24500.0,60,40,2.8
2022-06-17,24500.0,60,40,2.8
2022-06-18,17150.0,42,28,2.8
2022-06-19,17150.0,42,28,2.8
2022-06-20,24500.0,60,40,2.8
2022-06-21,24500.0,60,40,2.8
2022-06-22,24500.0,60,40,2.8
2022-06-23,24500.0,60,40,2.8
2022-06-24,24500.0,60,40,2.8
2022-06-25,17150.0,42,28,2.8
2022-06-26,17150.0,42,28,2.8
2022-06-27,24500.0,60,40,2.8
2022-06-28,24500.0,60,40,2.8
2022-06-29,24500.0,60,40,2.8
2022-06-30,24500.0,60,40,2.8
2022-07-01,24500.0,60,40,2.8
2022-07-02,17150.0,42,28,2.8
2022-07-03,17150.0,42,28,2.8
2022-07-04,24500.0,60,40,2.8
2022-07-05,24500.0,60,40,2.8
2022-07-06,24500.0,60,40,2.8
2022-07-07,24500.0,60,40,2.8
2022-07-08,24500.0,60,40,2.8
2022-07-09,17150.0,42,28,2.8
2022-07-10,17150.0,42,28,2.8
2022-07-11,24500.0,60,40,2.8
2022-07-12,24500.0,60,40,2.8
2022-07-13,24500.0,60,40,2.8
2022-07-14,24500.0,60,40,2.8
2022-07-15,24500.0,60,40,2.8
2022-07-16,17150.0,42,28,2.8
2022-07-17,17150.0,42,28,2.8
2022-07-18,24500.0,60,40,2.8
2022-07-19,24500.0,60,40,2.8
2022-07-20,24500.0,60,40,2.8
2022-07-21,24500.0,60,40,2.8
2022-07-22,24500.0,60,40,2.8
2022-07-23,17150.0,42,28,2.8
2022-07-24,17150.0,42,28,2.8
2022-07-25,24500.0,60,40,2.8
2022-07-26,24500.0,60,40,2.8
2022-07-27,24500.0,60,40,2.8
2022-07-28,24500.0,60,40,2.8
2022-07-29,24500.0,60,40,2.8
2022-07-30,17150.0,42,28,2.8
2022-07-31,17150.0,42,28,2.8
2022-08-01,24500.0,60,40,2.8
2022-08-02,24500.0,60,40,2.8
2022-08-03,24500.0,60,40,2.8
2022-08-04,24500.0,60,40,2.8
2022-08-05,24500.0,60,40,2.8
2022-08-06,17150.0,42,28,2.8
2022-08-07,17150.0,42,28,2.8
2022-08-08,24500.0,60,40,2.8
2022-08-09,24500.0,60,40,2.8
2022-08-10,24500.0,60,40,2.8
2022-08-11,24500.0,60,40,2.8
2022-08-12,24500.0,60,40,2.8
2022-08-13,17150.0,42,28,2.8
2022-08-14,17150.0,42,28,2.8
2022-08-15,24500.0,60,40,2.8
2022-08-16,24500.0,60,40,2.8
2022-08-17,24500.0,60,40,2.8
2022-08-18,24500.0,60,40,2.8
2022-08-19,24500.0,60,40,2.8
2022-08-20,17150.0,42,28,2.8
2022-08-21,17150.0,42,28,2.8
2022-08-22,24500.0,60,40,2.8
2022-08-23,24500.0,60,40,2.8
2022-08-24,24500.0,60,40,2.8
2022-08-25,24500.0,60,40,2.8
2022-08-26,24500.0,60,40,2.8
2022-08-27,17150.0,42,28,2.8
2022-08-28,17150.0,42,28,2.8
2022-08-29,24500.0,60,40,2.8
2022-08-30,24500.0,60,40,2.8
2022-08-31,24500.0,60,40,2.8
2022-09-01,24500.0,60,40,2.8
2022-09-02,24500.0,60,40,2.8
2022-09-03,17150.0,42,28,2.8
2022-09-04,17150.0,42,28,2.8
2022-09-05,24500.0,60,40,2.8
2022-09-06,24500.0,60,40,2.8
2022-09-07,24500.0,60,40,2.8
2022-09-08,24500.0,60,40,2.8
2022-09-09,24500.0,60,40,2.8
2022-09-10,17150.0,42,28,2.8
2022-09-11,17150.0,42,28,2.8
2022-09-12,24500.0,60,40,2.8
2022-09-13,24500.0,60,40,2.8
2022-09-14,24500.0,60,40,2.8
2022-09-15,24500.0,60,40,2.8
2022-09-16,24500.0,60,40,2.8
2022-09-17,17150.0,42,28,2.8
2022-09-18,17150.0,42,28,2.8
2022-09-19,24500.0,60,40,2.8
2022-09-20,24500.0,60,40,2.8
2022-09-21,24500.0,60,40,2.8
2022-09-22,24500.0,60,40,2.8
2022-09-23,24500.0,60,40,2.8
2022-09-24,17150.0,42,28,2.8
2022-09-25,17150.0,42,28,2.8
2022-09-26,24500.0,60,40,2.8
2022-09-27,24500.0,60,40,2.8
2022-09-28,24500.0,60,40,2.8
2022-09-29,24500.0,60,40,2.8
2022-09-30,24500.0,60,40,2.8
2022-10-01,18865.0,46,30,2.8
2022-10-02,18865.0,46,30,2.8
2022-10-03,26950.0,66,44,2.8
2022-10-04,26950.0,66,44,2.8
2022-10-05,26950.0,66,44,2.8
2022-10-06,26950.0,66,44,2.8
2022-10-07,26950.0,66,44,2.8
2022-10-08,18865.0,46,30,2.8
2022-10-09,18865.0,46,30,2.8
2022-10-10,26950.0,66,44,2.8
2022-10-11,26950.0,66,44,2.8
2022-10-12,26950.0,66,44,2.8
2022-10-13,26950.0,66,44,2.8
2022-10-14,26950.0,66,44,2.8
2022-10-15,18865.0,46,30,2.8
2022-10-16,18865.0,46,30,2.8
2022-10-17,26950.0,66,44,2.8
2022-10-18,26950.0,66,44,2.8
2022-10-19,26950.0,66,44,2.8
2022-10-20,26950.0,66,44,2.8
2022-10-21,26950.0,66,44,2.8
2022-10-22,18865.0,46,30,2.8
2022-10-23,18865.0,46,30,2.8
2022-10-24,26950.0,66,44,2.8
2022-10-25,26950.0,66,44,2.8
2022-10-26,26950.0,66,44,2.8
2022-10-27,26950.0,66,44,2.8
2022-10-28,26950.0,66,44,2.8
2022-10-29,18865.0,46,30,2.8
2022-10-30,18865.0,46,30,2.8
2022-10-31,26950.0,66,44,2.8
2022-11-01,36750.0,90,60,2.8
2022-11-02,36750.0,90,60,2.8
2022-11-03,36750.0,90,60,2.8
2022-11-04,36750.0,90,60,2.8
2022-11-05,25725.0,62,42,2.8
2022-11-06,25725.0,62,42,2.8
2022-11-07,36750.0,90,60,2.8
2022-11-08,36750.0,90,60,2.8
2022-11-09,36750.0,90,60,2.8
2022-11-10,36750.0,90,60,2.8
2022-11-11,36750.0,90,60,2.8
2022-11-12,25725.0,62,42,2.8
2022-11-13,25725.0,62,42,2.8
2022-11-14,36750.0,90,60,2.8
2022-11-15,36750.0,90,60,2.8
2022-11-16,36750.0,90,60,2.8
2022-11-17,36750.0,90,60,2.8
2022-11-18,36750.0,90,60,2.8
2022-11-19,25725.0,62,42,2.8
2022-11-20,25725.0,62,42,2.8
2022-11-21,36750.0,90,60,2.8
2022-11-22,36750.0,90,60,2.8
2022-11-23,36750.0,90,60,2.8
2022-11-24,36750.0,90,60,2.8
2022-11-25,36750.0,90,60,2.8
2022-11-26,25725.0,62,42,2.8
2022-11-27,25725.0,62,42,2.8
2022-11-28,36750.0,90,60,2.8
2022-11-29,36750.0,90,60,2.8
2022-11-30,36750.0,90,60,2.8
2022-12-01,31850.0,78,52,2.8
2022-12-02,31850.0,78,52,2.8
2022-12-03,22295.0,54,36,2.8
2022-12-04,22295.0,54,36,2.8
2022-12-05,31850.0,78,52,2.8
2022-12-06,31850.0,78,52,2.8
2022-12-07,31850.0,78,52,2.8
2022-12-08,31850.0,78,52,2.8
2022-12-09,31850.0,78,52,2.8
2022-12-10,22295.0,54,36,2.8
2022-12-11,22295.0,54,36,2.8
2022-12-12,31850.0,78,52,2.8
2022-12-13,31850.0,78,52,2.8
2022-12-14,31850.0,78,52,2.8
2022-12-15,31850.0,78,52,2.8
2022-12-16,31850.0,78,52,2.8
2022-12-17,22295.0,54,36,2.8
2022-12-18,22295.0,54,36,2.8
2022-12-19,31850.0,78,52,2.8
2022-12-20,31850.0,78,52,2.8
2022-12-21,31850.0,78,52,2.8
2022-12-22,31850.0,78,52,2.8
2022-12-23,31850.0,78,52,2.8
2022-12-24,22295.0,54,36,2.8
2022-12-25,22295.0,54,36,2.8
2022-12-26,31850.0,78,52,2.8
2022-12-27,31850.0,78,52,2.8
2022-12-28,31850.0,78,52,2.8
2022-12-29,31850.0,78,52,2.8
2022-12-30,31850.0,78,52,2.8
2022-12-31,22295.0,54,36,2.8
2023-01-01,19208.0,47,31,3.02
2023-01-02,27440.0,67,44,3.02
2023-01-03,27440.0,67,44,3.02
2023-01-04,27440.0,67,44,3.02
2023-01-05,27440.0,67,44,3.02
2023-01-06,27440.0,67,44,3.02
2023-01-07,19208.0,47,31,3.02
2023-01-08,19208.0,47,31,3.02
2023-01-09,27440.0,67,44,3.02
2023-01-10,27440.0,67,44,3.02
2023-01-11,27440.0,67,44,3.02
2023-01-12,27440.0,67,44,3.02
2023-01-13,27440.0,67,44,3.02
2023-01-14,19208.0,47,31,3.02
2023-01-15,19208.0,47,31,3.02
2023-01-16,27440.0,67,44,3.02
2023-01-17,27440.0,67,44,3.02
2023-01-18,27440.0,67,44,3.02
2023-01-19,27440.0,67,44,3.02
2023-01-20,27440.0,67,44,3.02
2023-01-21,19208.0,47,31,3.02
2023-01-22,19208.0,47,31,3.02
2023-01-23,27440.0,67,44,3.02
2023-01-24,27440.0,67,44,3.02
2023-01-25,27440.0,67,44,3.02
2023-01-26,27440.0,67,44,3.02
2023-01-27,27440.0,67,44,3.02
2023-01-28,19208.0,47,31,3.02
2023-01-29,19208.0,47,31,3.02
2023-01-30,27440.0,67,44,3.02
2023-01-31,27440.0,67,44,3.02
2023-02-01,27440.0,67,44,3.02
2023-02-02,27440.0,67,44,3.02
2023-02-03,27440.0,67,44,3.02
2023-02-04,19208.0,47,31,3.02
2023-02-05,19208.0,47,31,3.02
2023-02-06,27440.0,67,44,3.02
2023-02-07,27440.0,67,44,3.02
2023-02-08,27440.0,67,44,3.02
2023-02-09,27440.0,67,44,3.02
2023-02-10,27440.0,67,44,3.02
2023-02-11,19208.0,47,31,3.02
2023-02-12,19208.0,47,31,3.02
2023-02-13,27440.0,67,44,3.02
2023-02-14,27440.0,67,44,3.02
2023-02-15,27440.0,67,44,3.02
2023-02-16,27440.0,67,44,3.02
2023-02-17,27440.0,67,44,3.02
2023-02-18,19208.0,47,31,3.02
2023-02-19,19208.0,47,31,3.02
2023-02-20,27440.0,67,44,3.02
2023-02-21,27440.0,67,44,3.02
2023-02-22,27440.0,67,44,3.02
2023-02-23,27440.0,67,44,3.02
2023-02-24,27440.0,67,44,3.02
2023-02-25,19208.0,47,31,3.02
2023-02-26,19208.0,47,31,3.02
2023-02-27,27440.0,67,44,3.02
2023-02-28,27440.0,67,44,3.02
2023-03-01,27440.0,67,44,3.02
2023-03-02,27440.0,67,44,3.02
2023-03-03,27440.0,67,44,3.02
2023-03-04,19208.0,47,31,3.02
2023-03-05,19208.0,47,31,3.02
2023-03-06,27440.0,67,44,3.02
2023-03-07,27440.0,67,44,3.02
2023-03-08,27440.0,67,44,3.02
2023-03-09,27440.0,67,44,3.02
2023-03-10,27440.0,67,44,3.02
2023-03-11,19208.0,47,31,3.02
2023-03-12,19208.0,47,31,3.02
2023-03-13,27440.0,67,44,3.02
2023-03-14,27440.0,67,44,3.02
2023-03-15,27440.0,67,44,3.02
2023-03-16,27440.0,67,44,3.02
2023-03-17,27440.0,67,44,3.02
2023-03-18,19208.0,47,31,3.02
2023-03-19,19208.0,47,31,3.02
2023-03-20,27440.0,67,44,3.02
2023-03-21,27440.0,67,44,3.02
2023-03-22,27440.0,67,44,3.02
2023-03-23,27440.0,67,44,3.02
2023-03-24,27440.0,67,44,3.02
2023-03-25,19208.0,47,31,3.02
2023-03-26,19208.0,47,31,3.02
2023-03-27,27440.0,67,44,3.02
2023-03-28,27440.0,67,44,3.02
2023-03-29,27440.0,67,44,3.02
2023-03-30,27440.0,67,44,3.02
2023-03-31,27440.0,67,44,3.02
2023-04-01,19208.0,47,31,3.02
2023-04-02,19208.0,47,31,3.02
2023-04-03,27440.0,67,44,3.02
2023-04-04,27440.0,67,44,3.02
2023-04-05,27440.0,67,44,3.02
2023-04-06,27440.0,67,44,3.02
2023-04-07,27440.0,67,44,3.02
2023-04-08,19208.0,47,31,3.02
2023-04-09,19208.0,47,31,3.02
2023-04-10,27440.0,67,44,3.02
2023-04-11,27440.0,67,44,3.02
2023-04-12,27440.0,67,44,3.02
2023-04-13,27440.0,67,44,3.02
2023-04-14,27440.0,67,44,3.02
2023-04-15,19208.0,47,31,3.02
2023-04-16,19208.0,47,31,3.02
2023-04-17,27440.0,67,44,3.02
2023-04-18,27440.0,67,44,3.02
2023-04-19,27440.0,67,44,3.02
2023-04-20,27440.0,67,44,3.02
2023-04-21,27440.0,67,44,3.02
2023-04-22,19208.0,47,31,3.02
2023-04-23,19208.0,47,31,3.02
2023-04-24,27440.0,67,44,3.02
2023-04-25,27440.0,67,44,3.02
2023-04-26,27440.0,67,44,3.02
2023-04-27,27440.0,67,44,3.02
2023-04-28,27440.0,67,44,3.02
2023-04-29,19208.0,47,31,3.02
2023-04-30,19208.0,47,31,3.02
2023-05-01,30184.0,73,49,3.02
2023-05-02,30184.0,73,49,3.02
2023-05-03,30184.0,73,49,3.02
2023-05-04,30184.0,73,49,3.02
2023-05-05,30184.0,73,49,3.02
2023-05-06,21128.8,51,34,3.02
2023-05-07,21128.8,51,34,3.02
2023-05-08,30184.0,73,49,3.02
2023-05-09,30184.0,73,49,3.02
2023-05-10,30184.0,73,49,3.02
2023-05-11,30184.0,73,49,3.02
2023-05-12,30184.0,73,49,3.02
2023-05-13,21128.8,51,34,3.02
2023-05-14,21128.8,51,34,3.02
2023-05-15,30184.0,73,49,3.02
2023-05-16,30184.0,73,49,3.02
2023-05-17,30184.0,73,49,3.02
2023-05-18,30184.0,73,49,3.02
2023-05-19,30184.0,73,49,3.02
2023-05-20,21128.8,51,34,3.02
2023-05-21,21128.8,51,34,3.02
2023-05-22,30184.0,73,49,3.02
2023-05-23,30184.0,73,49,3.02
2023-05-24,30184.0,73,49,3.02
2023-05-25,30184.0,73,49,3.02
2023-05-26,30184.0,73,49,3.02
2023-05-27,21128.8,51,34,3.02
2023-05-28,21128.8,51,34,3.02
2023-05-29,30184.0,73,49,3.02
2023-05-30,30184.0,73,49,3.02
2023-05-31,30184.0,73,49,3.02
2023-06-01,27440.0,67,44,3.02
2023-06-02,27440.0,67,44,3.02
2023-06-03,19208.0,47,31,3.02
2023-06-04,19208.0,47,31,3.02
2023-06-05,27440.0,67,44,3.02
2023-06-06,27440.0,67,44,3.02
2023-06-07,27440.0,67,44,3.02
2023-06-08,27440.0,67,44,3.02
2023-06-09,27440.0,67,44,3.02
2023-06-10,19208.0,47,31,3.02
2023-06-11,19208.0,47,31,3.02
2023-06-12,27440.0,67,44,3.02
2023-06-13,27440.0,67,44,3.02
2023-06-14,27440.0,67,44,3.02
2023-06-15,27440.0,67,44,3.02
2023-06-16,27440.0,67,44,3.02
2023-06-17,19208.0,47,31,3.02
2023-06-18,19208.0,47,31,3.02
2023-06-19,27440.0,67,44,3.02
2023-06-20,27440.0,67,44,3.02
2023-06-21,27440.0,67,44,3.02
2023-06-22,27440.0,67,44,3.02
2023-06-23,27440.0,67,44,3.02
2023-06-24,19208.0,47,31,3.02
2023-06-25,19208.0,47,31,3.02
2023-06-26,27440.0,67,44,3.02
2023-06-27,27440.0,67,44,3.02
2023-06-28,27440.0,67,44,3.02
2023-06-29,27440.0,67,44,3.02
2023-06-30,27440.0,67,44,3.02
2023-07-01,19208.0,47,31,3.02
2023-07-02,19208.0,47,31,3.02
2023-07-03,27440.0,67,44,3.02
2023-07-04,27440.0,67,44,3.02
2023-07-05,27440.0,67,44,3.02
2023-07-06,27440.0,67,44,3.02
2023-07-07,27440.0,67,44,3.02
2023-07-08,19208.0,47,31,3.02
2023-07-09,19208.0,47,31,3.02
2023-07-10,27440.0,67,44,3.02
2023-07-11,27440.0,67,44,3.02
2023-07-12,27440.0,67,44,3.02
2023-07-13,27440.0,67,44,3.02
2023-07-14,27440.0,67,44,3.02
2023-07-15,19208.0,47,31,3.02
2023-07-16,19208.0,47,31,3.02
2023-07-17,27440.0,67,44,3.02
2023-07-18,27440.0,67,44,3.02
2023-07-19,27440.0,67,44,3.02
2023-07-20,27440.0,67,44,3.02
2023-07-21,27440.0,67,44,3.02
2023-07-22,19208.0,47,31,3.02
2023-07-23,19208.0,47,31,3.02
2023-07-24,27440.0,67,44,3.02
2023-07-25,27440.0,67,44,3.02
2023-07-26,27440.0,67,44,3.02
2023-07-27,27440.0,67,44,3.02
2023-07-28,27440.0,67,44,3.02
2023-07-29,19208.0,47,31,3.02
2023-07-30,19208.0,47,31,3.02
2023-07-31,27440.0,67,44,3.02
2023-08-01,27440.0,67,44,3.02
2023-08-02,27440.0,67,44,3.02
2023-08-03,27440.0,67,44,3.02
2023-08-04,27440.0,67,44,3.02
2023-08-05,19208.0,47,31,3.02
2023-08-06,19208.0,47,31,3.02
2023-08-07,27440.0,67,44,3.02
2023-08-08,27440.0,67,44,3.02
2023-08-09,27440.0,67,44,3.02
2023-08-10,27440.0,67,44,3.02
2023-08-11,27440.0,67,44,3.02
2023-08-12,19208.0,47,31,3.02
2023-08-13,19208.0,47,31,3.02
2023-08-14,27440.0,67,44,3.02
2023-08-15,27440.0,67,44,3.02
2023-08-16,27440.0,67,44,3.02
2023-08-17,27440.0,67,44,3.02
2023-08-18,27440.0,67,44,3.02
2023-08-19,19208.0,47,31,3.02
2023-08-20,19208.0,47,31,3.02
2023-08-21,27440.0,67,44,3.02
2023-08-22,27440.0,67,44,3.02
2023-08-23,27440.0,67,44,3.02
2023-08-24,27440.0,67,44,3.02
2023-08-25,27440.0,67,44,3.02
2023-08-26,19208.0,47,31,3.02
2023-08-27,19208.0,47,31,3.02
2023-08-28,27440.0,67,44,3.02
2023-08-29,27440.0,67,44,3.02
2023-08-30,27440.0,67,44,3.02
2023-08-31,27440.0,67,44,3.02
2023-09-01,27440.0,67,44,3.02
2023-09-02,19208.0,47,31,3.02
2023-09-03,19208.0,47,31,3.02
2023-09-04,27440.0,67,44,3.02
2023-09-05,27440.0,67,44,3.02
2023-09-06,27440.0,67,44,3.02
2023-09-07,27440.0,67,44,3.02
2023-09-08,27440.0,67,44,3.02
2023-09-09,19208.0,47,31,3.02
2023-09-10,19208.0,47,31,3.02
2023-09-11,27440.0,67,44,3.02
2023-09-12,27440.0,67,44,3.02
2023-09-13,27440.0,67,44,3.02
2023-09-14,27440.0,67,44,3.02
2023-09-15,27440.0,67,44,3.02
2023-09-16,19208.0,47,31,3.02
2023-09-17,19208.0,47,31,3.02
2023-09-18,27440.0,67,44,3.02
2023-09-19,27440.0,67,44,3.02
2023-09-20,27440.0,67,44,3.02
2023-09-21,27440.0,67,44,3.02
2023-09-22,27440.0,67,44,3.02
2023-09-23,19208.0,47,31,3.02
2023-09-24,19208.0,47,31,3.02
2023-09-25,27440.0,67,44,3.02
2023-09-26,27440.0,67,44,3.02
2023-09-27,27440.0,67,44,3.02
2023-09-28,27440.0,67,44,3.02
2023-09-29,27440.0,67,44,3.02
2023-09-30,19208.0,47,31,3.02
2023-10-01,21128.8,51,34,3.02
2023-10-02,30184.0,73,49,3.02
2023-10-03,30184.0,73,49,3.02
2023-10-04,30184.0,73,49,3.02
2023-10-05,30184.0,73,49,3.02
2023-10-06,30184.0,73,49,3.02
2023-10-07,21128.8,51,34,3.02
2023-10-08,21128.8,51,34,3.02
2023-10-09,30184.0,73,49,3.02
2023-10-10,30184.0,73,49,3.02
2023-10-11,30184.0,73,49,3.02
2023-10-12,30184.0,73,49,3.02
2023-10-13,30184.0,73,49,3.02
2023-10-14,21128.8,51,34,3.02
2023-10-15,21128.8,51,34,3.02
2023-10-16,30184.0,73,49,3.02
2023-10-17,30184.0,73,49,3.02
2023-10-18,30184.0,73,49,3.02
2023-10-19,30184.0,73,49,3.02
2023-10-20,30184.0,73,49,3.02
2023-10-21,21128.8,51,34,3.02
2023-10-22,21128.8,51,34,3.02
2023-10-23,30184.0,73,49,3.02
2023-10-24,30184.0,73,49,3.02
2023-10-25,30184.0,73,49,3.02
2023-10-26,30184.0,73,49,3.02
2023-10-27,30184.0,73,49,3.02
2023-10-28,21128.8,51,34,3.02
2023-10-29,21128.8,51,34,3.02
2023-10-30,30184.0,73,49,3.02
2023-10-31,30184.0,73,49,3.02
2023-11-01,41160.0,100,67,3.02
2023-11-02,41160.0,100,67,3.02
2023-11-03,41160.0,100,67,3.02
2023-11-04,28812.0,70,47,3.02
2023-11-05,28812.0,70,47,3.02
2023-11-06,41160.0,100,67,3.02
2023-11-07,41160.0,100,67,3.02
2023-11-08,41160.0,100,67,3.02
2023-11-09,41160.0,100,67,3.02
2023-11-10,41160.0,100,67,3.02
2023-11-11,28812.0,70,47,3.02
2023-11-12,28812.0,70,47,3.02
2023-11-13,41160.0,100,67,3.02
2023-11-14,41160.0,100,67,3.02
2023-11-15,41160.0,100,67,3.02
2023-11-16,41160.0,100,67,3.02
2023-11-17,41160.0,100,67,3.02
2023-11-18,28812.0,70,47,3.02
2023-11-19,28812.0,70,47,3.02
2023-11-20,41160.0,100,67,3.02
2023-11-21,41160.0,100,67,3.02
2023-11-22,41160.0,100,67,3.02
2023-11-23,41160.0,100,67,3.02
2023-11-24,41160.0,100,67,3.02
2023-11-25,28812.0,70,47,3.02
2023-11-26,28812.0,70,47,3.02
