date,channel,campaign,spend,impressions,clicks,conversions,cpc,ctr,cvr
2023-01-03,Meta Ads,Lead_Generation,591.04,1022,355,58,1.66,0.3472,0.1645
2023-01-03,Meta Ads,Display_Generico,958.5,17851,515,14,1.86,0.0288,0.0273
2023-01-03,Meta Ads,Video_Awareness_Amplo,1144.41,31259,670,26,1.71,0.0214,0.0389
2023-01-03,TikTok Ads,Performance_Search,919.1,2028,746,175,1.23,0.3678,0.2347
2023-01-03,TikTok Ads,Performance_Shopping,816.77,1538,630,139,1.3,0.4094,0.2207
2023-01-03,TikTok Ads,Remarketing_Display,321.02,11070,291,86,1.1,0.0263,0.2969
2023-01-03,TikTok Ads,Lead_Generation,746.67,1970,689,133,1.08,0.3497,0.1931
2023-01-03,TikTok Ads,Display_Generico,785.46,22650,702,24,1.12,0.031,0.0343
2023-01-03,TikTok Ads,Video_Awareness_Amplo,1228.1,32837,1083,45,1.13,0.033,0.0417
2023-01-04,Google Ads,Performance_Search,581.85,613,221,52,2.62,0.3605,0.2354
2023-01-04,Google Ads,Performance_Shopping,776.69,951,306,56,2.53,0.3216,0.185
2023-01-04,Google Ads,Remarketing_Display,247.35,3123,104,25,2.37,0.0333,0.2447
2023-01-04,Google Ads,Lead_Generation,914.19,960,356,60,2.57,0.3706,0.1701
2023-01-04,Google Ads,Display_Generico,1176.75,19156,471,14,2.5,0.0246,0.0313
2023-01-04,Google Ads,Video_Awareness_Amplo,974.12,14512,430,16,2.26,0.0296,0.0374
2023-01-04,Meta Ads,Performance_Search,942.58,1385,480,92,1.96,0.3466,0.1929
2023-01-04,Meta Ads,Performance_Shopping,400.07,646,204,38,1.95,0.3154,0.187
2023-01-04,Meta Ads,Remarketing_Display,383.89,8469,199,43,1.93,0.0235,0.2198
2023-01-04,Meta Ads,Lead_Generation,890.19,1716,513,79,1.73,0.2988,0.1547
2023-01-04,Meta Ads,Display_Generico,1422.56,28878,760,18,1.87,0.0263,0.0248
2023-01-04,Meta Ads,Video_Awareness_Amplo,1202.82,27744,608,21,1.98,0.0219,0.0361
2023-01-04,TikTok Ads,Performance_Search,905.58,1820,719,181,1.26,0.395,0.2518
2023-01-04,TikTok Ads,Performance_Shopping,601.84,1296,523,116,1.15,0.4035,0.222
2023-01-04,TikTok Ads,Remarketing_Display,365.01,9168,280,77,1.3,0.0305,0.2751
2023-01-04,TikTok Ads,Lead_Generation,859.2,1757,695,137,1.24,0.3953,0.1981
2023-01-04,TikTok Ads,Display_Generico,1390.99,41437,1197,36,1.16,0.0289,0.0303
2023-01-04,TikTok Ads,Video_Awareness_Amplo,1177.69,36055,1081,47,1.09,0.03,0.0444
2023-01-05,Google Ads,Performance_Search,559.06,690,219,43,2.55,0.3171,0.1996
2023-01-05,Google Ads,Performance_Shopping,873.46,1108,359,68,2.43,0.3239,0.1908
2023-01-05,Google Ads,Remarketing_Display,346.03,4969,146,33,2.36,0.0294,0.2293
2023-01-05,Google Ads,Lead_Generation,421.31,473,167,29,2.52,0.3528,0.1747
2023-01-05,Google Ads,Display_Generico,1278.83,16570,467,13,2.74,0.0282,0.0289
2023-01-05,Google Ads,Video_Awareness_Amplo,1326.11,20317,555,20,2.39,0.0273,0.0366
2023-01-05,Meta Ads,Performance_Search,405.87,603,206,42,1.97,0.3415,0.2058
2023-01-05,Meta Ads,Performance_Shopping,630.85,1254,374,60,1.68,0.298,0.1625
2023-01-05,Meta Ads,Remarketing_Display,302.87,5910,161,34,1.88,0.0272,0.2151
2023-01-05,Meta Ads,Lead_Generation,951.03,1558,504,78,1.89,0.3235,0.1564
2023-01-05,Meta Ads,Display_Generico,1069.11,25906,625,17,1.71,0.0241,0.0284
2023-01-05,Meta Ads,Video_Awareness_Amplo,791.85,22719,476,15,1.66,0.021,0.0327
2023-01-05,TikTok Ads,Performance_Search,892.73,1888,714,158,1.25,0.378,0.2225
2023-01-05,TikTok Ads,Performance_Shopping,679.33,1602,569,117,1.19,0.3552,0.2062
2023-01-05,TikTok Ads,Remarketing_Display,273.41,6928,222,55,1.23,0.032,0.25
2023-01-05,TikTok Ads,Lead_Generation,610.71,1304,496,99,1.23,0.3802,0.2003
2023-01-05,TikTok Ads,Display_Generico,1232.71,43728,1101,37,1.12,0.0252,0.0339
2023-01-05,TikTok Ads,Video_Awareness_Amplo,800.14,18320,655,29,1.22,0.0358,0.0447
2023-01-06,Google Ads,Performance_Search,618.66,691,240,53,2.57,0.3471,0.222
2023-01-06,Google Ads,Performance_Shopping,943.17,1009,386,79,2.44,0.3823,0.2054
2023-01-06,Google Ads,Remarketing_Display,233.78,4335,102,23,2.28,0.0235,0.2259
2023-01-06,Google Ads,Lead_Generation,446.39,537,172,28,2.59,0.32,0.1638
2023-01-06,Google Ads,Display_Generico,1360.11,19066,601,17,2.26,0.0315,0.0287
2023-01-06,Google Ads,Video_Awareness_Amplo,862.85,11275,332,14,2.6,0.0294,0.043
2023-01-06,Meta Ads,Performance_Search,822.12,1404,430,79,1.91,0.3061,0.1852
2023-01-06,Meta Ads,Performance_Shopping,831.24,1237,435,73,1.91,0.3514,0.168
2023-01-06,Meta Ads,Remarketing_Display,268.23,5882,141,34,1.9,0.024,0.2444
2023-01-06,Meta Ads,Lead_Generation,894.46,1499,504,81,1.77,0.3361,0.1608
2023-01-06,Meta Ads,Display_Generico,852.56,17073,438,12,1.94,0.0257,0.0288
2023-01-06,Meta Ads,Video_Awareness_Amplo,1000.99,21050,515,16,1.94,0.0245,0.0325
2023-01-06,TikTok Ads,Performance_Search,922.01,2282,836,220,1.1,0.3663,0.2638
2023-01-06,TikTok Ads,Performance_Shopping,948.53,1997,779,161,1.22,0.39,0.2068
2023-01-06,TikTok Ads,Remarketing_Display,252.82,6708,218,62,1.16,0.0325,0.2889
2023-01-06,TikTok Ads,Lead_Generation,855.26,1928,673,125,1.27,0.3489,0.1868
2023-01-06,TikTok Ads,Display_Generico,821.38,22803,677,24,1.21,0.0297,0.0356
2023-01-06,TikTok Ads,Video_Awareness_Amplo,1022.11,35381,922,42,1.11,0.0261,0.0463
2023-01-07,Google Ads,Performance_Search,489.83,660,212,48,2.3,0.3209,0.2288
2023-01-07,Google Ads,Performance_Shopping,281.89,288,105,18,2.66,0.3644,0.1741
2023-01-07,Google Ads,Remarketing_Display,137.86,1880,50,12,2.74,0.0266,0.2435
2023-01-07,Google Ads,Lead_Generation,564.01,539,207,36,2.72,0.384,0.1786
2023-01-07,Google Ads,Display_Generico,675.65,9452,294,8,2.29,0.0311,0.0304
2023-01-07,Google Ads,Video_Awareness_Amplo,696.98,10868,257,10,2.7,0.0236,0.0399
2023-01-07,Meta Ads,Performance_Search,258.48,493,144,26,1.79,0.2916,0.1829
2023-01-07,Meta Ads,Performance_Shopping,298.95,479,161,27,1.85,0.3357,0.1739
2023-01-07,Meta Ads,Remarketing_Display,249.34,6066,142,34,1.75,0.0234,0.2416
2023-01-07,Meta Ads,Lead_Generation,339.39,595,172,28,1.97,0.2888,0.1674
2023-01-07,Meta Ads,Display_Generico,527.5,10469,271,8,1.94,0.0259,0.0297
2023-01-07,Meta Ads,Video_Awareness_Amplo,541.12,9767,297,10,1.82,0.0304,0.0362
2023-01-07,TikTok Ads,Performance_Search,494.09,1051,396,98,1.25,0.3765,0.2482
2023-01-07,TikTok Ads,Performance_Shopping,476.91,1062,367,73,1.3,0.3455,0.1998
2023-01-07,TikTok Ads,Remarketing_Display,247.85,6396,191,53,1.29,0.0299,0.2816
2023-01-07,TikTok Ads,Lead_Generation,359.89,845,319,57,1.13,0.3772,0.1815
2023-01-07,TikTok Ads,Display_Generico,767.89,19298,698,25,1.1,0.0362,0.0362
2023-01-07,TikTok Ads,Video_Awareness_Amplo,818.82,24106,677,31,1.21,0.0281,0.0468
2023-01-08,Google Ads,Performance_Search,515.19,580,220,51,2.33,0.3788,0.2342
2023-01-08,Google Ads,Performance_Shopping,616.24,656,235,43,2.61,0.3579,0.1869
2023-01-08,Google Ads,Remarketing_Display,245.6,3972,91,20,2.68,0.0229,0.2263
2023-01-08,Google Ads,Lead_Generation,397.67,387,149,23,2.66,0.3841,0.1581
2023-01-08,Google Ads,Display_Generico,772.55,9500,316,10,2.44,0.0333,0.0321
2023-01-08,Google Ads,Video_Awareness_Amplo,881.16,13088,354,13,2.48,0.027,0.0382
2023-01-08,Meta Ads,Performance_Search,275.64,417,142,30,1.93,0.34,0.2178
2023-01-08,Meta Ads,Performance_Shopping,634.09,1031,348,64,1.82,0.3372,0.1862
2023-01-08,Meta Ads,Remarketing_Display,235.04,5459,137,28,1.71,0.0251,0.2083
2023-01-08,Meta Ads,Lead_Generation,617.86,1110,336,53,1.84,0.3026,0.1583
2023-01-08,Meta Ads,Display_Generico,783.22,20653,447,12,1.75,0.0216,0.0279
2023-01-08,Meta Ads,Video_Awareness_Amplo,739.71,15073,389,14,1.9,0.0258,0.0385
2023-01-08,TikTok Ads,Performance_Search,464.55,934,382,90,1.21,0.4086,0.2373
2023-01-08,TikTok Ads,Performance_Shopping,305.24,701,280,59,1.09,0.3994,0.214
2023-01-08,TikTok Ads,Remarketing_Display,216.55,7352,191,47,1.13,0.026,0.2483
2023-01-08,TikTok Ads,Lead_Generation,387.8,852,317,58,1.22,0.3718,0.1847
2023-01-08,TikTok Ads,Display_Generico,910.44,25580,782,27,1.16,0.0306,0.0349
2023-01-08,TikTok Ads,Video_Awareness_Amplo,684.67,15974,556,26,1.23,0.0348,0.048
2023-01-09,Google Ads,Performance_Search,477.26,500,175,36,2.71,0.3494,0.2094
2023-01-09,Google Ads,Performance_Shopping,660.28,686,240,44,2.74,0.3495,0.1835
2023-01-09,Google Ads,Remarketing_Display,319.33,5763,134,31,2.37,0.0232,0.2314
2023-01-09,Google Ads,Lead_Generation,466.1,615,200,34,2.33,0.3247,0.1748
2023-01-09,Google Ads,Display_Generico,906.45,11527,374,11,2.42,0.0324,0.0298
2023-01-09,Google Ads,Video_Awareness_Amplo,1238.78,21585,530,19,2.34,0.0246,0.0363
2023-01-09,Meta Ads,Performance_Search,490.08,948,284,51,1.72,0.2993,0.1817
2023-01-09,Meta Ads,Performance_Shopping,461.75,856,258,42,1.79,0.3012,0.1664
2023-01-09,Meta Ads,Remarketing_Display,293.92,7518,157,37,1.87,0.0209,0.2385
2023-01-09,Meta Ads,Lead_Generation,759.26,1337,460,76,1.65,0.3439,0.1659
2023-01-09,Meta Ads,Display_Generico,823.79,16669,479,13,1.72,0.0287,0.0283
2023-01-09,Meta Ads,Video_Awareness_Amplo,908.26,22040,535,19,1.7,0.0243,0.0359
2023-01-09,TikTok Ads,Performance_Search,753.61,1707,644,163,1.17,0.3772,0.254
2023-01-09,TikTok Ads,Performance_Shopping,412.51,911,361,81,1.14,0.3962,0.2255
2023-01-09,TikTok Ads,Remarketing_Display,295.53,9522,244,66,1.21,0.0256,0.2721
2023-01-09,TikTok Ads,Lead_Generation,703.38,1702,617,112,1.14,0.3625,0.1824
2023-01-09,TikTok Ads,Display_Generico,795.73,25547,687,21,1.16,0.0269,0.0319
2023-01-09,TikTok Ads,Video_Awareness_Amplo,863.95,21149,667,30,1.29,0.0315,0.0456
2023-01-10,Google Ads,Performance_Search,853.85,1062,341,75,2.5,0.3211,0.2216
2023-01-10,Google Ads,Performance_Shopping,735.18,811,280,49,2.62,0.3452,0.1758
2023-01-10,Google Ads,Remarketing_Display,250.98,3475,103,26,2.43,0.0296,0.2535
2023-01-10,Google Ads,Lead_Generation,599.85,609,218,35,2.74,0.3574,0.1611
2023-01-10,Google Ads,Display_Generico,851.64,14549,366,10,2.33,0.0252,0.028
2023-01-10,Google Ads,Video_Awareness_Amplo,909.66,15611,380,16,2.39,0.0243,0.0432
2023-01-10,Meta Ads,Performance_Search,438.06,770,242,52,1.81,0.3143,0.2171
2023-01-10,Meta Ads,Performance_Shopping,456.71,739,259,47,1.76,0.35,0.1835
2023-01-10,Meta Ads,Remarketing_Display,355.24,9311,207,48,1.71,0.0222,0.2326
2023-01-10,Meta Ads,Lead_Generation,936.08,1583,514,75,1.82,0.3246,0.1463
2023-01-10,Meta Ads,Display_Generico,1308.53,32570,775,20,1.69,0.0238,0.0266
2023-01-10,Meta Ads,Video_Awareness_Amplo,1129.33,30522,661,24,1.71,0.0217,0.0368
2023-01-10,TikTok Ads,Performance_Search,560.28,1297,459,110,1.22,0.3537,0.2411
2023-01-10,TikTok Ads,Performance_Shopping,703.36,1749,643,124,1.09,0.3676,0.1937
2023-01-10,TikTok Ads,Remarketing_Display,207.89,5559,157,45,1.32,0.0282,0.292
2023-01-10,TikTok Ads,Lead_Generation,540.35,1085,434,82,1.24,0.3998,0.1906
2023-01-10,TikTok Ads,Display_Generico,1104.68,32805,937,33,1.18,0.0286,0.0358
2023-01-10,TikTok Ads,Video_Awareness_Amplo,1350.35,39835,1029,47,1.31,0.0258,0.046
2023-01-11,Google Ads,Performance_Search,941.34,1257,402,92,2.34,0.3197,0.2306
2023-01-11,Google Ads,Performance_Shopping,727.93,837,272,54,2.67,0.3248,0.2012
2023-01-11,Google Ads,Remarketing_Display,234.92,4125,100,26,2.33,0.0242,0.2657
2023-01-11,Google Ads,Lead_Generation,781.14,914,311,56,2.51,0.3401,0.1828
2023-01-11,Google Ads,Display_Generico,1050.53,14459,395,11,2.66,0.0273,0.0293
2023-01-11,Google Ads,Video_Awareness_Amplo,1098.59,14850,457,18,2.4,0.0308,0.04
2023-01-11,Meta Ads,Performance_Search,527.19,867,271,54,1.94,0.3126,0.1997
2023-01-11,Meta Ads,Performance_Shopping,922.65,1692,500,93,1.84,0.2955,0.186
2023-01-11,Meta Ads,Remarketing_Display,318.22,8308,182,43,1.74,0.0219,0.2382
2023-01-11,Meta Ads,Lead_Generation,754.67,1205,416,67,1.81,0.3452,0.1618
2023-01-11,Meta Ads,Display_Generico,885.78,22193,511,14,1.73,0.023,0.0283
2023-01-11,Meta Ads,Video_Awareness_Amplo,804.94,15589,441,17,1.83,0.0283,0.0387
2023-01-11,TikTok Ads,Performance_Search,591.63,1321,463,119,1.28,0.3504,0.2588
2023-01-11,TikTok Ads,Performance_Shopping,465.77,983,396,76,1.18,0.4026,0.1944
2023-01-11,TikTok Ads,Remarketing_Display,240.32,5774,191,54,1.25,0.0331,0.2828
2023-01-11,TikTok Ads,Lead_Generation,798.0,1824,659,119,1.21,0.3611,0.1812
2023-01-11,TikTok Ads,Display_Generico,906.26,22219,698,22,1.3,0.0314,0.0323
2023-01-11,TikTok Ads,Video_Awareness_Amplo,1098.13,32041,839,37,1.31,0.0262,0.0448
2023-01-12,Google Ads,Performance_Search,687.7,850,269,63,2.56,0.3163,0.2364
2023-01-12,Google Ads,Performance_Shopping,937.69,1017,370,76,2.53,0.3638,0.2061
2023-01-12,Google Ads,Remarketing_Display,333.77,4955,143,36,2.33,0.0289,0.2553
2023-01-12,Google Ads,Lead_Generation,639.75,641,244,45,2.62,0.3804,0.1845
2023-01-12,Google Ads,Display_Generico,1090.49,14118,472,15,2.31,0.0334,0.032
2023-01-12,Google Ads,Video_Awareness_Amplo,867.3,9924,319,12,2.71,0.0321,0.0402
2023-01-12,Meta Ads,Performance_Search,737.78,1433,418,80,1.76,0.2915,0.1915
2023-01-12,Meta Ads,Performance_Shopping,861.87,1716,531,88,1.62,0.3093,0.1675
2023-01-12,Meta Ads,Remarketing_Display,300.56,6409,154,33,1.95,0.024,0.2181
2023-01-12,Meta Ads,Lead_Generation,823.54,1524,461,69,1.78,0.3024,0.1515
2023-01-12,Meta Ads,Display_Generico,878.38,20364,521,13,1.68,0.0256,0.0266
2023-01-12,Meta Ads,Video_Awareness_Amplo,1407.98,30425,804,29,1.75,0.0264,0.037
2023-01-12,TikTok Ads,Performance_Search,398.68,902,321,84,1.24,0.3555,0.2643
2023-01-12,TikTok Ads,Performance_Shopping,478.19,1162,405,93,1.18,0.3485,0.2298
2023-01-12,TikTok Ads,Remarketing_Display,293.68,9548,240,69,1.22,0.0251,0.2887
2023-01-12,TikTok Ads,Lead_Generation,514.11,1107,396,69,1.3,0.3576,0.1754
2023-01-12,TikTok Ads,Display_Generico,807.01,21674,676,20,1.19,0.0312,0.0301
2023-01-12,TikTok Ads,Video_Awareness_Amplo,1312.65,35964,1104,48,1.19,0.0307,0.0435
2023-01-13,Google Ads,Performance_Search,626.05,757,247,50,2.53,0.3259,0.206
2023-01-13,Google Ads,Performance_Shopping,896.44,964,329,59,2.72,0.3411,0.1813
2023-01-13,Google Ads,Remarketing_Display,321.4,5730,130,30,2.45,0.0227,0.2328
2023-01-13,Google Ads,Lead_Generation,810.92,990,314,50,2.58,0.3169,0.1605
2023-01-13,Google Ads,Display_Generico,940.11,16047,363,10,2.59,0.0226,0.0276
2023-01-13,Google Ads,Video_Awareness_Amplo,1329.34,19117,568,21,2.34,0.0297,0.0379
2023-01-13,Meta Ads,Performance_Search,449.32,786,263,55,1.71,0.3342,0.2121
2023-01-13,Meta Ads,Performance_Shopping,877.92,1502,497,79,1.76,0.3308,0.1609
2023-01-13,Meta Ads,Remarketing_Display,252.81,6306,130,26,1.94,0.0206,0.2063
2023-01-13,Meta Ads,Lead_Generation,512.93,1048,314,48,1.63,0.2996,0.1555
2023-01-13,Meta Ads,Display_Generico,1070.36,19098,551,14,1.94,0.0289,0.0261
2023-01-13,Meta Ads,Video_Awareness_Amplo,959.51,20584,546,18,1.76,0.0265,0.0343
2023-01-13,TikTok Ads,Performance_Search,757.06,1672,642,153,1.18,0.384,0.2389
2023-01-13,TikTok Ads,Performance_Shopping,563.7,1077,431,83,1.31,0.4,0.194
2023-01-13,TikTok Ads,Remarketing_Display,365.29,8665,305,88,1.2,0.0352,0.2915
2023-01-13,TikTok Ads,Lead_Generation,640.39,1627,590,111,1.09,0.3624,0.1886
2023-01-13,TikTok Ads,Display_Generico,1215.46,40900,1064,37,1.14,0.026,0.0352
2023-01-13,TikTok Ads,Video_Awareness_Amplo,1455.58,45668,1206,50,1.21,0.0264,0.042
2023-01-14,Google Ads,Performance_Search,261.16,296,96,21,2.71,0.3232,0.2234
2023-01-14,Google Ads,Performance_Shopping,358.63,391,141,28,2.53,0.3606,0.2025
2023-01-14,Google Ads,Remarketing_Display,153.31,2799,67,18,2.26,0.0239,0.27
2023-01-14,Google Ads,Lead_Generation,587.3,644,230,40,2.55,0.357,0.1756
2023-01-14,Google Ads,Display_Generico,586.3,7973,216,6,2.71,0.0271,0.0293
2023-01-14,Google Ads,Video_Awareness_Amplo,739.1,13395,325,13,2.27,0.0243,0.0419
2023-01-14,Meta Ads,Performance_Search,285.71,510,155,30,1.84,0.3037,0.1936
2023-01-14,Meta Ads,Performance_Shopping,364.21,622,208,34,1.75,0.334,0.1641
2023-01-14,Meta Ads,Remarketing_Display,199.05,4069,111,27,1.79,0.0273,0.2447
2023-01-14,Meta Ads,Lead_Generation,533.42,1082,314,45,1.7,0.29,0.1457
2023-01-14,Meta Ads,Display_Generico,772.97,18425,471,12,1.64,0.0256,0.0275
2023-01-14,Meta Ads,Video_Awareness_Amplo,656.96,16039,346,11,1.9,0.0216,0.0329
2023-01-14,TikTok Ads,Performance_Search,531.75,1123,443,105,1.2,0.3943,0.2388
2023-01-14,TikTok Ads,Performance_Shopping,348.08,675,272,59,1.28,0.4028,0.2171
2023-01-14,TikTok Ads,Remarketing_Display,161.66,4597,132,33,1.22,0.0287,0.2525
2023-01-14,TikTok Ads,Lead_Generation,603.85,1308,542,100,1.11,0.4142,0.185
2023-01-14,TikTok Ads,Display_Generico,590.64,13968,488,16,1.21,0.0349,0.0345
2023-01-14,TikTok Ads,Video_Awareness_Amplo,867.03,21381,700,32,1.24,0.0327,0.0471
2023-01-15,Google Ads,Performance_Search,349.33,423,140,33,2.49,0.3305,0.2415
2023-01-15,Google Ads,Performance_Shopping,614.05,740,270,55,2.27,0.3644,0.2062
2023-01-15,Google Ads,Remarketing_Display,150.02,1806,59,13,2.53,0.0327,0.2267
2023-01-15,Google Ads,Lead_Generation,520.02,568,216,40,2.4,0.3797,0.186
2023-01-15,Google Ads,Display_Generico,928.27,11636,373,11,2.49,0.0321,0.0321
2023-01-15,Google Ads,Video_Awareness_Amplo,650.22,10694,244,9,2.66,0.0228,0.0408
2023-01-15,Meta Ads,Performance_Search,341.84,699,205,42,1.66,0.2929,0.2058
2023-01-15,Meta Ads,Performance_Shopping,383.72,698,204,33,1.88,0.2922,0.1647
2023-01-15,Meta Ads,Remarketing_Display,195.63,4295,102,23,1.9,0.0237,0.2307
2023-01-15,Meta Ads,Lead_Generation,591.91,1059,321,44,1.84,0.3029,0.1384
2023-01-15,Meta Ads,Display_Generico,895.29,18684,550,14,1.63,0.0294,0.0272
2023-01-15,Meta Ads,Video_Awareness_Amplo,925.96,15798,485,16,1.91,0.0307,0.0349
2023-01-15,TikTok Ads,Performance_Search,546.62,1225,464,115,1.18,0.3785,0.2482
2023-01-15,TikTok Ads,Performance_Shopping,587.22,1113,446,91,1.32,0.4004,0.2056
2023-01-15,TikTok Ads,Remarketing_Display,180.62,5252,143,36,1.26,0.0272,0.2536
2023-01-15,TikTok Ads,Lead_Generation,389.34,927,338,59,1.15,0.3645,0.177
2023-01-15,TikTok Ads,Display_Generico,527.02,13377,486,15,1.08,0.0363,0.0325
2023-01-15,TikTok Ads,Video_Awareness_Amplo,679.23,20241,546,26,1.24,0.027,0.048
2023-01-16,Google Ads,Performance_Search,852.19,1077,371,87,2.29,0.3442,0.2367
2023-01-16,Google Ads,Performance_Shopping,945.09,1061,380,67,2.48,0.3579,0.1773
2023-01-16,Google Ads,Remarketing_Display,389.27,4975,164,42,2.37,0.033,0.2575
2023-01-16,Google Ads,Lead_Generation,747.44,899,298,47,2.51,0.3311,0.159
2023-01-16,Google Ads,Display_Generico,932.87,12784,398,11,2.34,0.0311,0.0291
2023-01-16,Google Ads,Video_Awareness_Amplo,821.58,9288,300,13,2.73,0.0323,0.0434
2023-01-16,Meta Ads,Performance_Search,974.51,1847,579,120,1.68,0.3134,0.2082
2023-01-16,Meta Ads,Performance_Shopping,799.22,1402,477,77,1.68,0.3402,0.1616
2023-01-16,Meta Ads,Remarketing_Display,239.26,4933,131,29,1.81,0.0266,0.2286
2023-01-16,Meta Ads,Lead_Generation,444.66,750,229,32,1.94,0.305,0.1417
2023-01-16,Meta Ads,Display_Generico,1390.13,24122,707,20,1.96,0.0293,0.0287
2023-01-16,Meta Ads,Video_Awareness_Amplo,1230.35,31632,676,23,1.82,0.0214,0.0353
2023-01-16,TikTok Ads,Performance_Search,609.58,1342,533,128,1.14,0.397,0.2418
2023-01-16,TikTok Ads,Performance_Shopping,438.53,982,387,74,1.13,0.3939,0.1913
2023-01-16,TikTok Ads,Remarketing_Display,361.91,9978,301,84,1.2,0.0302,0.2801
2023-01-16,TikTok Ads,Lead_Generation,874.68,1908,751,142,1.16,0.3935,0.1895
2023-01-16,TikTok Ads,Display_Generico,964.71,21959,747,25,1.29,0.034,0.034
2023-01-16,TikTok Ads,Video_Awareness_Amplo,1364.01,32125,1058,49,1.29,0.0329,0.047
2023-01-17,Google Ads,Performance_Search,800.07,859,308,71,2.59,0.3583,0.2311
2023-01-17,Google Ads,Performance_Shopping,484.02,476,179,30,2.69,0.376,0.1721
2023-01-17,Google Ads,Remarketing_Display,356.95,5888,154,40,2.31,0.0262,0.2622
2023-01-17,Google Ads,Lead_Generation,485.29,487,182,30,2.66,0.3732,0.1703
2023-01-17,Google Ads,Display_Generico,786.37,11190,328,10,2.39,0.0293,0.0329
