date,channel,campaign,total_sessions,bounced_sessions,mobile_sessions,desktop_sessions,tablet_sessions,total_pages,total_duration_seconds
2023-01-07,Google Ads,Remarketing_Display,47,19,27,17,3,117,4580
2023-01-07,Google Ads,Lead_Generation,195,116,129,56,10,392,14170
2023-01-07,Google Ads,Display_Generico,271,161,175,83,13,546,19720
2023-01-07,Google Ads,Video_Awareness_Amplo,240,144,161,70,9,480,17280
2023-01-07,Meta Ads,Performance_Search,133,78,80,51,2,270,9810
2023-01-07,Meta Ads,Performance_Shopping,149,87,88,55,6,304,11040
2023-01-07,Meta Ads,Remarketing_Display,126,52,79,34,13,311,12140
2023-01-07,Meta Ads,Lead_Generation,147,87,93,39,15,297,10740
2023-01-07,Meta Ads,Display_Generico,251,147,149,81,21,511,18540
2023-01-07,Meta Ads,Video_Awareness_Amplo,274,166,199,63,12,544,19520
2023-01-07,TikTok Ads,Performance_Search,370,222,249,102,19,740,26640
2023-01-07,TikTok Ads,Performance_Shopping,346,208,239,91,16,691,24860
2023-01-07,TikTok Ads,Remarketing_Display,177,73,117,49,11,437,17060
2023-01-07,TikTok Ads,Lead_Generation,279,167,189,82,8,559,20140
2023-01-07,TikTok Ads,Display_Generico,605,362,403,171,31,1212,43690
2023-01-07,TikTok Ads,Video_Awareness_Amplo,638,380,413,194,31,1283,46300
2023-01-08,Google Ads,Performance_Search,204,124,147,48,9,404,14480
2023-01-08,Google Ads,Performance_Shopping,209,124,133,63,13,421,15230
2023-01-08,Google Ads,Remarketing_Display,81,33,47,33,1,201,7860
2023-01-08,Google Ads,Lead_Generation,127,75,81,41,5,257,9300
2023-01-08,Google Ads,Display_Generico,290,174,199,78,13,580,20880
2023-01-08,Google Ads,Video_Awareness_Amplo,324,194,215,87,22,649,23380
2023-01-08,Meta Ads,Performance_Search,123,72,76,39,8,250,9090
2023-01-08,Meta Ads,Performance_Shopping,328,196,215,104,9,658,23720
2023-01-08,Meta Ads,Remarketing_Display,128,51,71,51,6,320,12570
2023-01-08,Meta Ads,Lead_Generation,296,177,198,86,12,593,21390
2023-01-08,Meta Ads,Display_Generico,382,228,250,119,13,767,27660
2023-01-08,Meta Ads,Video_Awareness_Amplo,340,202,214,102,24,685,24740
2023-01-08,TikTok Ads,Performance_Search,362,219,259,86,17,719,25830
2023-01-08,TikTok Ads,Performance_Shopping,248,146,153,89,6,503,18220
2023-01-08,TikTok Ads,Remarketing_Display,179,73,113,59,7,444,17360
2023-01-08,TikTok Ads,Lead_Generation,297,177,190,87,20,597,21540
2023-01-08,TikTok Ads,Display_Generico,677,405,445,200,32,1357,48900
2023-01-08,TikTok Ads,Video_Awareness_Amplo,500,299,332,150,18,1002,36130
2023-01-09,Google Ads,Performance_Search,153,89,85,61,7,313,11380
2023-01-09,Google Ads,Performance_Shopping,207,122,128,67,12,419,15190
2023-01-09,Google Ads,Remarketing_Display,116,47,68,39,9,288,11290
2023-01-09,Google Ads,Lead_Generation,186,112,128,53,5,371,13340
2023-01-09,Google Ads,Display_Generico,348,206,217,114,17,703,25420
2023-01-09,Google Ads,Video_Awareness_Amplo,474,283,313,139,22,951,34310
2023-01-09,Meta Ads,Performance_Search,245,148,171,60,14,487,17510
2023-01-09,Meta Ads,Performance_Shopping,242,145,166,67,9,484,17450
2023-01-09,Meta Ads,Remarketing_Display,135,55,84,43,8,335,13100
2023-01-09,Meta Ads,Lead_Generation,434,259,286,128,20,871,31430
2023-01-09,Meta Ads,Display_Generico,452,271,303,129,20,904,32570
2023-01-09,Meta Ads,Video_Awareness_Amplo,472,280,299,144,29,952,34400
2023-01-09,TikTok Ads,Performance_Search,584,348,374,181,29,1174,42360
2023-01-09,TikTok Ads,Performance_Shopping,331,198,222,103,6,663,23910
2023-01-09,TikTok Ads,Remarketing_Display,229,95,151,71,7,564,22000
2023-01-09,TikTok Ads,Lead_Generation,543,325,358,154,31,1088,39200
2023-01-09,TikTok Ads,Display_Generico,590,350,373,190,27,1190,43000
2023-01-09,TikTok Ads,Video_Awareness_Amplo,613,364,387,202,24,1235,44630
2023-01-10,Google Ads,Performance_Search,312,184,187,105,20,632,22880
2023-01-10,Google Ads,Performance_Shopping,261,155,166,83,12,526,19000
2023-01-10,Google Ads,Remarketing_Display,94,39,69,21,4,231,9030
2023-01-10,Google Ads,Lead_Generation,193,113,114,68,11,393,14260
2023-01-10,Google Ads,Display_Generico,330,198,220,96,14,660,23760
2023-01-10,Google Ads,Video_Awareness_Amplo,331,198,217,102,12,663,23910
2023-01-10,Meta Ads,Performance_Search,218,129,134,66,18,440,15930
2023-01-10,Meta Ads,Performance_Shopping,225,134,147,67,11,452,16330
2023-01-10,Meta Ads,Remarketing_Display,190,78,116,67,7,470,18360
2023-01-10,Meta Ads,Lead_Generation,456,272,294,133,29,916,33040
2023-01-10,Meta Ads,Display_Generico,725,434,477,211,37,1452,52330
2023-01-10,Meta Ads,Video_Awareness_Amplo,622,371,403,189,30,1249,45070
2023-01-10,TikTok Ads,Performance_Search,417,248,266,131,20,839,30310
2023-01-10,TikTok Ads,Performance_Shopping,609,363,390,182,37,1224,44160
2023-01-10,TikTok Ads,Remarketing_Display,139,57,86,50,3,344,13440
2023-01-10,TikTok Ads,Lead_Generation,412,246,268,125,19,827,29820
2023-01-10,TikTok Ads,Display_Generico,832,496,539,254,39,1672,60320
2023-01-10,TikTok Ads,Video_Awareness_Amplo,944,564,615,282,47,1894,68280
2023-01-11,Google Ads,Performance_Search,357,213,231,113,13,717,25860
2023-01-11,Google Ads,Performance_Shopping,238,141,151,75,12,480,17370
2023-01-11,Google Ads,Remarketing_Display,89,37,62,22,5,219,8540
2023-01-11,Google Ads,Lead_Generation,274,162,170,91,13,554,20040
2023-01-11,Google Ads,Display_Generico,370,221,241,117,12,742,26770
2023-01-11,Google Ads,Video_Awareness_Amplo,418,252,290,109,19,833,29940
2023-01-11,Meta Ads,Performance_Search,239,142,155,71,13,481,17390
2023-01-11,Meta Ads,Performance_Shopping,464,277,306,133,25,931,33590
2023-01-11,Meta Ads,Remarketing_Display,165,68,107,51,7,407,15910
2023-01-11,Meta Ads,Lead_Generation,359,215,242,107,10,719,25900
2023-01-11,Meta Ads,Display_Generico,434,259,284,132,18,871,31430
2023-01-11,Meta Ads,Video_Awareness_Amplo,382,226,236,126,20,772,27920
2023-01-11,TikTok Ads,Performance_Search,403,240,263,126,14,810,29250
2023-01-11,TikTok Ads,Performance_Shopping,368,223,264,92,12,730,26210
2023-01-11,TikTok Ads,Remarketing_Display,176,74,124,40,12,431,16780
2023-01-11,TikTok Ads,Lead_Generation,595,357,403,165,27,1190,42840
2023-01-11,TikTok Ads,Display_Generico,597,357,396,176,25,1197,43140
2023-01-11,TikTok Ads,Video_Awareness_Amplo,776,465,517,215,44,1553,55950
2023-01-12,Google Ads,Performance_Search,236,138,139,88,9,481,17460
2023-01-12,Google Ads,Performance_Shopping,333,199,220,93,20,668,24080
2023-01-12,Google Ads,Remarketing_Display,132,54,82,41,9,327,12780
2023-01-12,Google Ads,Lead_Generation,207,124,141,60,6,414,14930
2023-01-12,Google Ads,Display_Generico,441,265,299,118,24,881,31700
2023-01-12,Google Ads,Video_Awareness_Amplo,273,163,177,86,10,548,19760
2023-01-12,Meta Ads,Performance_Search,359,213,226,113,20,724,26160
2023-01-12,Meta Ads,Performance_Shopping,465,277,303,140,22,935,33740
2023-01-12,Meta Ads,Remarketing_Display,136,57,94,38,4,333,12990
2023-01-12,Meta Ads,Lead_Generation,429,257,289,124,16,859,30940
2023-01-12,Meta Ads,Display_Generico,468,278,296,146,26,943,34060
2023-01-12,Meta Ads,Video_Awareness_Amplo,688,413,460,186,42,1375,49510
2023-01-12,TikTok Ads,Performance_Search,285,169,181,84,20,575,20780
2023-01-12,TikTok Ads,Performance_Shopping,383,229,254,110,19,768,27680
2023-01-12,TikTok Ads,Remarketing_Display,218,91,149,54,15,535,20870
2023-01-12,TikTok Ads,Lead_Generation,359,214,235,109,15,721,26030
2023-01-12,TikTok Ads,Display_Generico,593,354,389,174,30,1190,42930
2023-01-12,TikTok Ads,Video_Awareness_Amplo,1041,617,645,331,65,2101,75940
2023-01-13,Google Ads,Performance_Search,220,131,143,60,17,442,15970
2023-01-13,Google Ads,Performance_Shopping,305,181,190,102,13,615,22220
2023-01-13,Google Ads,Remarketing_Display,115,46,65,42,8,287,11270
2023-01-13,Google Ads,Lead_Generation,275,165,184,78,13,550,19800
2023-01-13,Google Ads,Display_Generico,337,201,219,93,25,677,24420
2023-01-13,Google Ads,Video_Awareness_Amplo,524,312,339,159,26,1054,38040
2023-01-13,Meta Ads,Performance_Search,231,137,146,69,16,466,16840
2023-01-13,Meta Ads,Performance_Shopping,454,273,313,126,15,906,32610
2023-01-13,Meta Ads,Remarketing_Display,120,49,78,40,2,297,11630
2023-01-13,Meta Ads,Lead_Generation,292,174,192,88,12,587,21180
2023-01-13,Meta Ads,Display_Generico,499,294,302,168,29,1011,36630
2023-01-13,Meta Ads,Video_Awareness_Amplo,487,290,313,150,24,979,35350
2023-01-13,TikTok Ads,Performance_Search,600,361,411,163,26,1197,43070
2023-01-13,TikTok Ads,Performance_Shopping,370,222,247,105,18,740,26640
2023-01-13,TikTok Ads,Remarketing_Display,289,120,189,85,15,711,27750
2023-01-13,TikTok Ads,Lead_Generation,503,298,311,157,35,1015,36710
2023-01-13,TikTok Ads,Display_Generico,923,549,585,288,50,1858,67080
2023-01-13,TikTok Ads,Video_Awareness_Amplo,1076,639,678,335,63,2168,78330
2023-01-14,Google Ads,Performance_Search,82,49,54,24,4,164,5930
2023-01-14,Google Ads,Performance_Shopping,125,73,74,45,6,255,9260
2023-01-14,Google Ads,Remarketing_Display,59,24,42,14,3,146,5730
2023-01-14,Google Ads,Lead_Generation,213,127,143,60,10,428,15440
2023-01-14,Google Ads,Display_Generico,204,121,131,65,8,411,14870
2023-01-14,Google Ads,Video_Awareness_Amplo,286,170,184,83,19,576,20800
2023-01-14,Meta Ads,Performance_Search,142,85,95,41,6,284,10250
2023-01-14,Meta Ads,Performance_Shopping,186,111,126,51,9,373,13470
2023-01-14,Meta Ads,Remarketing_Display,96,40,64,25,7,236,9200
2023-01-14,Meta Ads,Lead_Generation,279,166,177,84,18,561,20270
2023-01-14,Meta Ads,Display_Generico,401,237,245,134,22,811,29340
2023-01-14,Meta Ads,Video_Awareness_Amplo,297,177,195,86,16,597,21540
2023-01-14,TikTok Ads,Performance_Search,389,232,255,120,14,781,28190
2023-01-14,TikTok Ads,Performance_Shopping,236,140,149,71,16,476,17200
2023-01-14,TikTok Ads,Remarketing_Display,122,50,79,37,6,302,11800
2023-01-14,TikTok Ads,Lead_Generation,472,279,292,151,29,954,34530
2023-01-14,TikTok Ads,Display_Generico,449,265,270,149,30,909,32900
2023-01-14,TikTok Ads,Video_Awareness_Amplo,658,390,409,211,38,1328,48000
2023-01-15,Google Ads,Performance_Search,129,76,80,42,7,261,9470
2023-01-15,Google Ads,Performance_Shopping,252,150,161,77,14,507,18300
2023-01-15,Google Ads,Remarketing_Display,53,21,31,17,5,133,5220
2023-01-15,Google Ads,Lead_Generation,185,109,115,57,13,375,13580
2023-01-15,Google Ads,Display_Generico,336,202,230,92,14,671,24140
2023-01-15,Google Ads,Video_Awareness_Amplo,209,125,142,61,6,419,15100
2023-01-15,Meta Ads,Performance_Search,185,108,104,68,13,377,13710
2023-01-15,Meta Ads,Performance_Shopping,179,107,118,52,9,359,12940
2023-01-15,Meta Ads,Remarketing_Display,92,37,57,30,5,229,8990
2023-01-15,Meta Ads,Lead_Generation,294,175,188,93,13,591,21350
2023-01-15,Meta Ads,Display_Generico,521,309,326,157,38,1051,37980
2023-01-15,Meta Ads,Video_Awareness_Amplo,449,269,297,128,24,899,32380
2023-01-15,TikTok Ads,Performance_Search,427,255,280,126,21,857,30900
2023-01-15,TikTok Ads,Performance_Shopping,401,239,258,123,20,806,29080
2023-01-15,TikTok Ads,Remarketing_Display,124,51,76,39,9,306,11970
2023-01-15,TikTok Ads,Lead_Generation,306,181,190,97,19,618,22370
2023-01-15,TikTok Ads,Display_Generico,452,269,289,145,18,909,32830
2023-01-15,TikTok Ads,Video_Awareness_Amplo,503,295,293,182,28,1023,37100
2023-01-16,Google Ads,Performance_Search,327,197,225,84,18,652,23440
2023-01-16,Google Ads,Performance_Shopping,337,201,223,102,12,677,24420
2023-01-16,Google Ads,Remarketing_Display,147,60,92,51,4,364,14250
2023-01-16,Google Ads,Lead_Generation,253,151,166,74,13,508,18320
2023-01-16,Google Ads,Display_Generico,346,206,223,108,15,696,25120
2023-01-16,Google Ads,Video_Awareness_Amplo,282,167,177,93,12,569,20590
2023-01-16,Meta Ads,Performance_Search,546,325,348,176,22,1098,39650
2023-01-16,Meta Ads,Performance_Shopping,430,256,277,125,28,865,31220
2023-01-16,Meta Ads,Remarketing_Display,112,46,73,33,6,277,10820
2023-01-16,Meta Ads,Lead_Generation,194,114,118,72,4,394,14280
2023-01-16,Meta Ads,Display_Generico,646,386,421,193,32,1296,46720
2023-01-16,Meta Ads,Video_Awareness_Amplo,623,374,417,174,32,1245,44830
2023-01-16,TikTok Ads,Performance_Search,475,284,316,129,30,952,34330
2023-01-16,TikTok Ads,Performance_Shopping,329,195,209,99,21,664,24000
2023-01-16,TikTok Ads,Remarketing_Display,264,109,168,82,14,651,25430
2023-01-16,TikTok Ads,Lead_Generation,690,410,435,212,43,1390,50200
2023-01-16,TikTok Ads,Display_Generico,657,392,426,203,28,1319,47590
2023-01-16,TikTok Ads,Video_Awareness_Amplo,903,540,591,268,44,1810,65250
2023-01-17,Google Ads,Performance_Search,267,160,181,71,15,534,19250
2023-01-17,Google Ads,Performance_Shopping,159,94,101,52,6,321,11630
2023-01-17,Google Ads,Remarketing_Display,139,56,83,46,10,346,13570
2023-01-17,Google Ads,Lead_Generation,168,100,109,52,7,338,12200
2023-01-17,Google Ads,Display_Generico,302,182,210,79,13,602,21640
2023-01-17,Google Ads,Video_Awareness_Amplo,481,287,314,138,29,966,34840
2023-01-17,Meta Ads,Performance_Search,480,283,289,165,26,972,35210
2023-01-17,Meta Ads,Performance_Shopping,516,309,346,147,23,1033,37230
2023-01-17,Meta Ads,Remarketing_Display,94,39,67,18,9,231,9030
2023-01-17,Meta Ads,Lead_Generation,258,152,159,84,15,523,18940
2023-01-17,Meta Ads,Display_Generico,481,288,317,142,22,963,34710
2023-01-17,Meta Ads,Video_Awareness_Amplo,647,386,422,207,18,1299,46870
2023-01-17,TikTok Ads,Performance_Search,692,417,476,183,33,1379,49590
2023-01-17,TikTok Ads,Performance_Shopping,488,292,321,148,19,978,35240
2023-01-17,TikTok Ads,Remarketing_Display,175,72,116,47,12,432,16890
2023-01-17,TikTok Ads,Lead_Generation,362,215,228,118,16,729,26350
2023-01-17,TikTok Ads,Display_Generico,602,356,371,198,33,1217,44020
2023-01-17,TikTok Ads,Video_Awareness_Amplo,1102,659,722,330,50,2209,79630
2023-01-18,Google Ads,Performance_Search,214,128,141,58,15,429,15460
2023-01-18,Google Ads,Performance_Shopping,340,200,202,120,18,690,25000
2023-01-18,Google Ads,Remarketing_Display,97,39,58,33,6,242,9480
2023-01-18,Google Ads,Lead_Generation,312,186,202,96,14,627,22620
2023-01-18,Google Ads,Display_Generico,489,291,316,147,26,984,35520
2023-01-18,Google Ads,Video_Awareness_Amplo,433,259,286,126,21,868,31280
2023-01-18,Meta Ads,Performance_Search,463,276,297,140,26,930,33570
2023-01-18,Meta Ads,Performance_Shopping,247,148,168,65,14,494,17810
2023-01-18,Meta Ads,Remarketing_Display,114,47,80,30,4,281,10990
2023-01-18,Meta Ads,Lead_Generation,255,151,163,81,11,515,18620
2023-01-18,Meta Ads,Display_Generico,430,258,293,114,23,860,30960
2023-01-18,Meta Ads,Video_Awareness_Amplo,610,365,400,188,22,1222,44050
2023-01-18,TikTok Ads,Performance_Search,701,415,434,227,40,1416,51200
2023-01-18,TikTok Ads,Performance_Shopping,347,206,222,110,15,699,25270
2023-01-18,TikTok Ads,Remarketing_Display,230,95,153,68,9,567,22150
2023-01-18,TikTok Ads,Lead_Generation,442,265,294,129,19,884,31850
2023-01-18,TikTok Ads,Display_Generico,678,407,459,183,36,1355,48790
2023-01-18,TikTok Ads,Video_Awareness_Amplo,819,488,526,259,34,1646,59410
2023-01-19,Google Ads,Performance_Search,200,119,131,61,8,402,14530
2023-01-19,Google Ads,Performance_Shopping,141,84,95,39,7,283,10230
2023-01-19,Google Ads,Remarketing_Display,115,48,79,30,6,282,11010
2023-01-19,Google Ads,Lead_Generation,204,123,141,57,6,406,14610
2023-01-19,Google Ads,Display_Generico,394,234,253,116,25,794,28680
2023-01-19,Google Ads,Video_Awareness_Amplo,399,236,248,126,25,806,29170
2023-01-19,Meta Ads,Performance_Search,288,171,183,85,20,580,20970
2023-01-19,Meta Ads,Performance_Shopping,499,299,332,140,27,999,35980
2023-01-19,Meta Ads,Remarketing_Display,166,68,108,51,7,411,16060
2023-01-19,Meta Ads,Lead_Generation,242,144,156,73,13,487,17580
2023-01-19,Meta Ads,Display_Generico,434,260,289,123,22,869,31300
2023-01-19,Meta Ads,Video_Awareness_Amplo,473,280,292,154,27,955,34550
2023-01-19,TikTok Ads,Performance_Search,651,390,436,180,35,1303,46950
2023-01-19,TikTok Ads,Performance_Shopping,772,464,525,212,35,1542,55480
2023-01-19,TikTok Ads,Remarketing_Display,193,79,121,67,5,478,18680
2023-01-19,TikTok Ads,Lead_Generation,734,440,491,203,40,1469,52900
2023-01-19,TikTok Ads,Display_Generico,1108,659,701,344,63,2230,80530
2023-01-19,TikTok Ads,Video_Awareness_Amplo,1037,618,669,320,48,2084,75210
2023-01-20,Google Ads,Performance_Search,182,107,112,57,13,369,13390
2023-01-20,Google Ads,Performance_Shopping,303,180,191,100,12,610,22050
2023-01-20,Google Ads,Remarketing_Display,103,42,69,29,5,255,9990
2023-01-20,Google Ads,Lead_Generation,181,108,121,51,9,363,13110
2023-01-20,Google Ads,Display_Generico,437,262,291,115,31,874,31490
2023-01-20,Google Ads,Video_Awareness_Amplo,497,296,320,151,26,999,36070
2023-01-20,Meta Ads,Performance_Search,255,152,169,72,14,512,18490
2023-01-20,Meta Ads,Performance_Shopping,347,205,214,102,31,702,25400
2023-01-20,Meta Ads,Remarketing_Display,127,51,75,44,8,317,12420
2023-01-20,Meta Ads,Lead_Generation,385,229,245,120,20,775,27980
2023-01-20,Meta Ads,Display_Generico,520,309,333,156,31,1047,37830
2023-01-20,Meta Ads,Video_Awareness_Amplo,519,310,341,147,31,1041,37550
2023-01-20,TikTok Ads,Performance_Search,336,201,225,99,12,673,24270
2023-01-20,TikTok Ads,Performance_Shopping,417,248,264,127,26,839,30310
2023-01-20,TikTok Ads,Remarketing_Display,252,104,165,76,11,622,24280
2023-01-20,TikTok Ads,Lead_Generation,541,325,369,155,17,1081,38900
2023-01-20,TikTok Ads,Display_Generico,815,486,525,244,46,1637,59070
2023-01-20,TikTok Ads,Video_Awareness_Amplo,685,408,441,213,31,1377,49710
2023-01-21,Google Ads,Performance_Search,242,143,149,76,17,489,17710
2023-01-21,Google Ads,Performance_Shopping,230,137,153,68,9,462,16690
2023-01-21,Google Ads,Remarketing_Display,81,33,47,29,5,201,7860
2023-01-21,Google Ads,Lead_Generation,203,121,135,59,9,408,14720
